License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Matched Characteristics,Link
TAIKI-109.65,Japan 🇯🇵,109.65°E,Non-Planned,Notification of Space Station (N),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=TAIKI-109.65&sel_satname=TAIKI-109.65&plan_id=
INMARSAT-6-108.5E,United Kingdom 🇬🇧,108.5°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=INMARSAT-6-108.5E&sel_satname=INMARSAT-6-108.5E&plan_id=
NBSAT-21BX,Japan 🇯🇵,109.85°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=NBSAT-21BX&sel_satname=NBSAT-21BX&plan_id=
BSAT-109.85,Japan 🇯🇵,109.85°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=BSAT-109.85&sel_satname=BSAT-109.85&plan_id=
NBSAT-21BX_1,Japan 🇯🇵,109.85°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=NBSAT-21BX_1&sel_satname=NBSAT-21BX_1&plan_id=
SIGNSAT-108E,China 🇨🇳,108.3°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=SIGNSAT-108E&sel_satname=SIGNSAT-108E&plan_id=
P92-9A,United States 🇺🇸,110.0°E,Non-Planned,Notification of Space Station (N),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=P92-9A&sel_satname=P92-9A&plan_id=
JMCS-D2-X,Japan 🇯🇵,110.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=JMCS-D2-X&sel_satname=JMCS-D2-X&plan_id=
USLL-PAC5,United States 🇺🇸,110.0°E,Non-Planned,Notification of Space Station (N),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=USLL-PAC5&sel_satname=USLL-PAC5&plan_id=
OHO-30B-110E,Sweden 🇸🇪,110.0°E,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=OHO-30B-110E&sel_satname=OHO-30B-110E&plan_id=plan
N-SAT-110,Japan 🇯🇵,110.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=N-SAT-110&sel_satname=N-SAT-110&plan_id=
JMCS-2,Japan 🇯🇵,110.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=JMCS-2&sel_satname=JMCS-2&plan_id=
N-SAT-110E,Japan 🇯🇵,110.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=N-SAT-110E&sel_satname=N-SAT-110E&plan_id=
P-197-8,United States 🇺🇸,110.0°E,Non-Planned,Notification of Space Station (N),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=P-197-8&sel_satname=P-197-8&plan_id=
P92-9,United States 🇺🇸,110.0°E,Non-Planned,Notification of Space Station (N),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=P92-9&sel_satname=P92-9&plan_id=
JMCS-5D,Japan 🇯🇵,110.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=JMCS-5D&sel_satname=JMCS-5D&plan_id=
N-SAT-Y12-110E,Japan 🇯🇵,110.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=N-SAT-Y12-110E&sel_satname=N-SAT-Y12-110E&plan_id=
USGGR-11,United States 🇺🇸,110.0°E,Non-Planned,Notification of Space Station (N),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=USGGR-11&sel_satname=USGGR-11&plan_id=
N-SAT-Y22-110E,Japan 🇯🇵,110.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=N-SAT-Y22-110E&sel_satname=N-SAT-Y22-110E&plan_id=
BSAT-110,Japan 🇯🇵,110.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=BSAT-110&sel_satname=BSAT-110&plan_id=
USCSID-A6,United States 🇺🇸,110.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USCSID-A6&sel_satname=USCSID-A6&plan_id=
AM-SAT-108.2E-G,United Kingdom 🇬🇧,108.2°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=AM-SAT-108.2E-G&sel_satname=AM-SAT-108.2E-G&plan_id=
LUX-30B-G6-108.2E,Luxembourg 🇱🇺,108.2°E,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=LUX-30B-G6-108.2E&sel_satname=LUX-30B-G6-108.2E&plan_id=plan
GESATCOM-A4,United Kingdom 🇬🇧,108.2°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=GESATCOM-A4&sel_satname=GESATCOM-A4&plan_id=
AM-SAT A4,United Kingdom 🇬🇧,108.2°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=AM-SAT+A4&sel_satname=AM-SAT+A4&plan_id=
LUX-G5-25,Luxembourg 🇱🇺,108.2°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=LUX-G5-25&sel_satname=LUX-G5-25&plan_id=
INDOSTAR-110E-K,Indonesia 🇮🇩,108.2°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INDOSTAR-110E-K&sel_satname=INDOSTAR-110E-K&plan_id=
INDOSTAR-110E,Indonesia 🇮🇩,108.2°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INDOSTAR-110E&sel_satname=INDOSTAR-110E&plan_id=
LUX-G7-20,Luxembourg 🇱🇺,108.2°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=LUX-G7-20&sel_satname=LUX-G7-20&plan_id=
LUX-G10-108.2E,Luxembourg 🇱🇺,108.2°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=LUX-G10-108.2E&sel_satname=LUX-G10-108.2E&plan_id=
NSS-BSS 108.2E TTC,Netherlands 🇳🇱,108.2°E,Non-Planned,Notification of Space Station (N),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=NSS-BSS+108.2E+TTC&sel_satname=NSS-BSS+108.2E+TTC&plan_id=
LUX-G11-108.2E,Luxembourg 🇱🇺,108.2°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=LUX-G11-108.2E&sel_satname=LUX-G11-108.2E&plan_id=
GIBSAT-108.2E,United Kingdom 🇬🇧,108.2°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=GIBSAT-108.2E&sel_satname=GIBSAT-108.2E&plan_id=
