License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Matched Characteristics,Link
DFH-4-OAF,China 🇨🇳,155.0°E,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=DFH-4-OAF&sel_satname=DFH-4-OAF&plan_id=
F-SAT-30B-155.9E,France 🇫🇷,155.9°E,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-30B-155.9E&sel_satname=F-SAT-30B-155.9E&plan_id=plan
F-SAT-N7-155.9E,France 🇫🇷,155.9°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N7-155.9E&sel_satname=F-SAT-N7-155.9E&plan_id=
PNG00000,Papua New Guinea 🇵🇬,154.1°E,Planned,Planned (P/Plan/List),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=PNG00000&sel_satname=PNG00000&plan_id=plan
AUSSAT C 156E GOVR,Australia 🇦🇺,156.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=AUSSAT+C+156E+GOVR&sel_satname=AUSSAT+C+156E+GOVR&plan_id=
MADAR-156E,United Arab Emirates 🇦🇪,156.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-156E&sel_satname=MADAR-156E&plan_id=
AUSSAT F 156E,Australia 🇦🇺,156.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=AUSSAT+F+156E&sel_satname=AUSSAT+F+156E&plan_id=
N-SAT-Y19-156E,Japan 🇯🇵,156.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=N-SAT-Y19-156E&sel_satname=N-SAT-Y19-156E&plan_id=
ADF 156E POR,Australia 🇦🇺,156.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ADF+156E+POR&sel_satname=ADF+156E+POR&plan_id=
PESSE-156E,Netherlands 🇳🇱,156.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=PESSE-156E&sel_satname=PESSE-156E&plan_id=
AUSSAT B 156E S,Australia 🇦🇺,156.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=AUSSAT+B+156E+S&sel_satname=AUSSAT+B+156E+S&plan_id=
AUSSAT-H-156E,Australia 🇦🇺,156.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=AUSSAT-H-156E&sel_satname=AUSSAT-H-156E&plan_id=
ADF 156E GOV,Australia 🇦🇺,156.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=ADF+156E+GOV&sel_satname=ADF+156E+GOV&plan_id=
AUSSAT C 156E GOV,Australia 🇦🇺,156.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=AUSSAT+C+156E+GOV&sel_satname=AUSSAT+C+156E+GOV&plan_id=
AUSSAT-H-156E-30B,Australia 🇦🇺,156.0°E,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=AUSSAT-H-156E-30B&sel_satname=AUSSAT-H-156E-30B&plan_id=plan
IK-156E-F,Russian Federation 🇷🇺,156.0°E,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=IK-156E-F&sel_satname=IK-156E-F&plan_id=plan
AUSSAT D 156E FSS,Australia 🇦🇺,156.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=AUSSAT+D+156E+FSS&sel_satname=AUSSAT+D+156E+FSS&plan_id=
AUSSAT C 156E FSS,Australia 🇦🇺,156.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=AUSSAT+C+156E+FSS&sel_satname=AUSSAT+C+156E+FSS&plan_id=
