Network,ITU Administration,Longitude,Network Type,Filing Maturity,Brought into Use,Due Diligence Match,Suspended,Longitudinal Distance,Link
USOBO-11B,United States 🇺🇸,139.0°E,Non-Planned,Early-Stage,No,Partial,No,0.33°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=USOBO-11B&sel_satname=USOBO-11B&plan_id=
USOBO-11C,United States 🇺🇸,139.0°E,Non-Planned,Early-Stage,No,n/a,No,0.33°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USOBO-11C&sel_satname=USOBO-11C&plan_id=
COMPASS-A-140E,China 🇨🇳,140.0°E,Non-Planned,Early-Stage,No,n/a,No,0.67°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=COMPASS-A-140E&sel_satname=COMPASS-A-140E&plan_id=
RST-5,Russian Federation 🇷🇺,140.0°E,Non-Planned,Late-Stage,Yes,No,No,0.67°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=RST-5&sel_satname=RST-5&plan_id=
AUS-NBN-3,Australia 🇦🇺,140.0°E,Non-Planned,Early-Stage,No,n/a,No,0.67°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=AUS-NBN-3&sel_satname=AUS-NBN-3&plan_id=
VOLNA-6,Russian Federation 🇷🇺,140.0°E,Non-Planned,Early-Stage,Yes,n/a,No,0.67°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=VOLNA-6&sel_satname=VOLNA-6&plan_id=
EXPRESS-10,Russian Federation 🇷🇺,140.0°E,Non-Planned,Late-Stage,Yes,No,No,0.67°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=EXPRESS-10&sel_satname=EXPRESS-10&plan_id=
CHINASAT-32,China 🇨🇳,140.0°E,Non-Planned,Late-Stage,Yes,No,No,0.67°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=CHINASAT-32&sel_satname=CHINASAT-32&plan_id=
COMPASS-140E,China 🇨🇳,140.0°E,Non-Planned,Late-Stage,Yes,No,No,0.67°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=COMPASS-140E&sel_satname=COMPASS-140E&plan_id=
EXPRESS-10B,Russian Federation 🇷🇺,140.0°E,Non-Planned,Late-Stage,Yes,No,No,0.67°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=EXPRESS-10B&sel_satname=EXPRESS-10B&plan_id=
ADF 140E POR,Australia 🇦🇺,140.0°E,Non-Planned,Early-Stage,No,n/a,No,0.67°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ADF+140E+POR&sel_satname=ADF+140E+POR&plan_id=
EXPRESS-10P,Russian Federation 🇷🇺,140.0°E,Planned,Late-Stage,Yes,No,No,0.67°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=EXPRESS-10P&sel_satname=EXPRESS-10P&plan_id=plan
NUSANTARA-B6A-30B,Indonesia 🇮🇩,140.0°E,Planned,Early-Stage,No,n/a,No,0.67°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=NUSANTARA-B6A-30B&sel_satname=NUSANTARA-B6A-30B&plan_id=plan
COMPASS-30B-140E,China 🇨🇳,140.0°E,Planned,Early-Stage,No,n/a,No,0.67°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=COMPASS-30B-140E&sel_satname=COMPASS-30B-140E&plan_id=plan
F-SAT-N7-140E,France 🇫🇷,140.0°E,Non-Planned,Early-Stage,No,n/a,No,0.67°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N7-140E&sel_satname=F-SAT-N7-140E&plan_id=
EXPRESS-10KA,Russian Federation 🇷🇺,140.0°E,Non-Planned,Late-Stage,Yes,No,No,0.67°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=EXPRESS-10KA&sel_satname=EXPRESS-10KA&plan_id=
RUS00003,Russian Federation 🇷🇺,138.5°E,Planned,Early-Stage,No,n/a,No,0.83°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=RUS00003&sel_satname=RUS00003&plan_id=plan
