Network,ITU Administration,Longitude,Network Type,Filing Maturity,Brought into Use,Due Diligence Match,Suspended,Longitudinal Distance,Eligible,Link
CANGYU-1,China 🇨🇳,144.6°E,Non-Planned,Early-Stage,No,n/a,No,0.04°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CANGYU-1&sel_satname=CANGYU-1&plan_id=
COMPASS-B-144.5E,China 🇨🇳,144.5°E,Non-Planned,Late-Stage,Yes,Partial,No,0.06°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=COMPASS-B-144.5E&sel_satname=COMPASS-B-144.5E&plan_id=
COMPASS-A-144.5E,China 🇨🇳,144.5°E,Non-Planned,Late-Stage,Yes,No,No,0.06°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=COMPASS-A-144.5E&sel_satname=COMPASS-A-144.5E&plan_id=
CHINASAT-35C,China 🇨🇳,144.5°E,Non-Planned,Late-Stage,Yes,Partial,No,0.06°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=CHINASAT-35C&sel_satname=CHINASAT-35C&plan_id=
COMPASS-30B-144.5E,China 🇨🇳,144.5°E,Planned,Late-Stage,Yes,No,No,0.06°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=COMPASS-30B-144.5E&sel_satname=COMPASS-30B-144.5E&plan_id=plan
AUS-NBN-4,Australia 🇦🇺,145.0°E,Non-Planned,Late-Stage,Yes,No,No,0.44°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=AUS-NBN-4&sel_satname=AUS-NBN-4&plan_id=
USOBO-18B,United States 🇺🇸,145.0°E,Non-Planned,Early-Stage,No,n/a,No,0.44°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USOBO-18B&sel_satname=USOBO-18B&plan_id=
VOLNA-6R,Russian Federation 🇷🇺,145.0°E,Non-Planned,Late-Stage,Yes,No,No,0.44°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=VOLNA-6R&sel_satname=VOLNA-6R&plan_id=
USGON-6,United States 🇺🇸,145.0°E,Non-Planned,Late-Stage,Yes,No,No,0.44°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=USGON-6&sel_satname=USGON-6&plan_id=
EXPRESS-11,Russian Federation 🇷🇺,145.0°E,Non-Planned,Late-Stage,Yes,No,No,0.44°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=EXPRESS-11&sel_satname=EXPRESS-11&plan_id=
