Network,ITU Administration,Longitude,Network Type,Filing Maturity,Brought into Use,Due Diligence Match,Suspended,Longitudinal Distance,Eligible,Link
CTI00000,Côte d'Ivoire 🇨🇮,15.76°W,Planned,Early-Stage,No,n/a,No,0.06°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=CTI00000&sel_satname=CTI00000&plan_id=plan
ZSSRD-2,Russian Federation 🇷🇺,16.0°W,Non-Planned,Late-Stage,Yes,No,No,0.18°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=ZSSRD-2&sel_satname=ZSSRD-2&plan_id=
INTERSPUTNIK-16W-2,Russian Federation 🇷🇺,16.0°W,Non-Planned,Late-Stage,Yes,No,No,0.18°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INTERSPUTNIK-16W-2&sel_satname=INTERSPUTNIK-16W-2&plan_id=
WSDRN,Russian Federation 🇷🇺,16.0°W,Non-Planned,Late-Stage,Yes,No,No,0.18°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=WSDRN&sel_satname=WSDRN&plan_id=
SIRIUS-16W-1,Sweden 🇸🇪,16.0°W,Non-Planned,Early-Stage,No,n/a,No,0.18°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=SIRIUS-16W-1&sel_satname=SIRIUS-16W-1&plan_id=
NIGCOMSAT-2B,Nigeria 🇳🇬,16.0°W,Non-Planned,Early-Stage,No,n/a,No,0.18°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=NIGCOMSAT-2B&sel_satname=NIGCOMSAT-2B&plan_id=
INTERSPUTNIK-16W-F,Russian Federation 🇷🇺,16.0°W,Planned,Late-Stage,Yes,No,No,0.18°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INTERSPUTNIK-16W-F&sel_satname=INTERSPUTNIK-16W-F&plan_id=plan
IK-16W-F,Russian Federation 🇷🇺,16.0°W,Planned,Early-Stage,No,n/a,No,0.18°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=IK-16W-F&sel_satname=IK-16W-F&plan_id=plan
ZSSRD-2,Russian Federation 🇷🇺,16.0°W,Planned,Late-Stage,Yes,No,No,0.18°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=ZSSRD-2&sel_satname=ZSSRD-2&plan_id=plan
WSDRN,Russian Federation 🇷🇺,16.0°W,Planned,Late-Stage,Yes,No,No,0.18°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=WSDRN&sel_satname=WSDRN&plan_id=plan
INTERSPUTNIK-16W-4,Russian Federation 🇷🇺,16.0°W,Non-Planned,Late-Stage,Yes,No,No,0.18°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INTERSPUTNIK-16W-4&sel_satname=INTERSPUTNIK-16W-4&plan_id=
WSDRN-M,Russian Federation 🇷🇺,16.0°W,Non-Planned,Late-Stage,Yes,No,No,0.18°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=WSDRN-M&sel_satname=WSDRN-M&plan_id=
WSDRN-M,Russian Federation 🇷🇺,16.0°W,Planned,Late-Stage,Yes,No,No,0.18°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=WSDRN-M&sel_satname=WSDRN-M&plan_id=plan
IRIS-4A,United States 🇺🇸,15.5°W,Non-Planned,Late-Stage,Yes,Full,No,0.32°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=IRIS-4A&sel_satname=IRIS-4A&plan_id=
FLTSATCOM-C E ATL-2,United States 🇺🇸,15.5°W,Non-Planned,Late-Stage,Yes,Partial,No,0.32°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=FLTSATCOM-C+E+ATL-2&sel_satname=FLTSATCOM-C+E+ATL-2&plan_id=
COG00000,Congo (Rep. of the) 🇨🇬,16.35°W,Planned,Early-Stage,No,n/a,No,0.53°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=COG00000&sel_satname=COG00000&plan_id=plan
USGAE-14B,United States 🇺🇸,16.5°W,Non-Planned,Early-Stage,No,n/a,No,0.68°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USGAE-14B&sel_satname=USGAE-14B&plan_id=
IOMSAT-2A2,United Kingdom 🇬🇧,15.0°W,Non-Planned,Late-Stage,Yes,No,No,0.82°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=IOMSAT-2A2&sel_satname=IOMSAT-2A2&plan_id=
USASAT-66D,United States 🇺🇸,15.0°W,Non-Planned,Late-Stage,Yes,Full,No,0.82°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-66D&sel_satname=USASAT-66D&plan_id=
IOMSAT-15W-B,United Kingdom 🇬🇧,15.0°W,Planned,Late-Stage,Yes,No,No,0.82°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=IOMSAT-15W-B&sel_satname=IOMSAT-15W-B&plan_id=plan
MKD00000,North Macedonia 🇲🇰,16.7°W,Planned,Early-Stage,No,n/a,No,0.88°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=MKD00000&sel_satname=MKD00000&plan_id=plan
