Network,ITU Administration,Longitude,Network Type,Filing Maturity,Brought into Use,Due Diligence Match,Suspended,Longitudinal Distance,Eligible,Link
F-SAT-N7-117W,France 🇫🇷,117.0°W,Non-Planned,Early-Stage,No,n/a,No,0.00°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N7-117W&sel_satname=F-SAT-N7-117W&plan_id=
RAGGIANA-18,Papua New Guinea 🇵🇬,117.0°W,Non-Planned,Late-Stage,Yes,No,No,0.00°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=RAGGIANA-18&sel_satname=RAGGIANA-18&plan_id=
EG-SAT-117W,France 🇫🇷,117.0°W,Non-Planned,Early-Stage,No,n/a,No,0.00°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=EG-SAT-117W&sel_satname=EG-SAT-117W&plan_id=
MADAR-117W-2,United Arab Emirates 🇦🇪,117.0°W,Non-Planned,Early-Stage,No,n/a,No,0.00°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-117W-2&sel_satname=MADAR-117W-2&plan_id=
N-SAT-Y23-117.2W,Japan 🇯🇵,117.2°W,Non-Planned,Early-Stage,No,n/a,No,0.20°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=N-SAT-Y23-117.2W&sel_satname=N-SAT-Y23-117.2W&plan_id=
SATMEX 8,Mexico 🇲🇽,116.8°W,Non-Planned,Late-Stage,Yes,No,No,0.20°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=SATMEX+8&sel_satname=SATMEX+8&plan_id=
MEXSAT-116.8-L-7M,Mexico 🇲🇽,116.8°W,Non-Planned,Early-Stage,No,n/a,No,0.20°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MEXSAT-116.8-L-7M&sel_satname=MEXSAT-116.8-L-7M&plan_id=
USASAT-28N,United States 🇺🇸,116.15°W,Non-Planned,Late-Stage,Yes,No,No,0.85°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-28N&sel_satname=USASAT-28N&plan_id=
