Network,ITU Administration,Longitude,Network Type,Filing Maturity,Brought into Use,Due Diligence Match,Suspended,Longitudinal Distance,Eligible,Link
ODYSSEY-99W,Germany 🇩🇪,99.0°W,Non-Planned,Early-Stage,No,n/a,No,0.03°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ODYSSEY-99W&sel_satname=ODYSSEY-99W&plan_id=
QATARSAT-G5-99W,Qatar 🇶🇦,99.0°W,Non-Planned,Early-Stage,No,n/a,No,0.03°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=QATARSAT-G5-99W&sel_satname=QATARSAT-G5-99W&plan_id=
USABSN-13A,United States 🇺🇸,99.0°W,Non-Planned,Late-Stage,Yes,Partial,No,0.03°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USABSN-13A&sel_satname=USABSN-13A&plan_id=
USASAT-60G,United States 🇺🇸,99.0°W,Non-Planned,Late-Stage,Yes,Full,No,0.03°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-60G&sel_satname=USASAT-60G&plan_id=
USASAT-31N,United States 🇺🇸,99.0°W,Non-Planned,Late-Stage,Yes,Partial,No,0.03°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-31N&sel_satname=USASAT-31N&plan_id=
USASAT-35J,United States 🇺🇸,99.0°W,Non-Planned,Late-Stage,Yes,Partial,No,0.03°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-35J&sel_satname=USASAT-35J&plan_id=
USASAT-24J,United States 🇺🇸,99.0°W,Non-Planned,Late-Stage,Yes,Partial,No,0.03°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-24J&sel_satname=USASAT-24J&plan_id=
ODYSSEY FSS-99W,Germany 🇩🇪,99.0°W,Planned,Early-Stage,No,n/a,No,0.03°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=ODYSSEY+FSS-99W&sel_satname=ODYSSEY+FSS-99W&plan_id=plan
USASAT-70V,United States 🇺🇸,99.2°W,Non-Planned,Late-Stage,Yes,Partial,No,0.17°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-70V&sel_satname=USASAT-70V&plan_id=
CHNHTSAT-99.5W,China 🇨🇳,99.5°W,Non-Planned,Early-Stage,No,n/a,No,0.47°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CHNHTSAT-99.5W&sel_satname=CHNHTSAT-99.5W&plan_id=
ABW00000,Netherlands 🇳🇱,98.2°W,Planned,Early-Stage,No,n/a,No,0.83°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=ABW00000&sel_satname=ABW00000&plan_id=plan
F-SAT-30B-100W,France 🇫🇷,100.0°W,Planned,Early-Stage,No,n/a,No,0.97°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-30B-100W&sel_satname=F-SAT-30B-100W&plan_id=plan
F-SAT-N7-100W,France 🇫🇷,100.0°W,Non-Planned,Early-Stage,No,n/a,No,0.97°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N7-100W&sel_satname=F-SAT-N7-100W&plan_id=
FLTSATCOM-C E PAC-2,United States 🇺🇸,100.0°W,Non-Planned,Late-Stage,Yes,Partial,No,0.97°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=FLTSATCOM-C+E+PAC-2&sel_satname=FLTSATCOM-C+E+PAC-2&plan_id=
IRIS-2A,United States 🇺🇸,100.0°W,Non-Planned,Late-Stage,Yes,Partial,No,0.97°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=IRIS-2A&sel_satname=IRIS-2A&plan_id=
