Network,ITU Administration,Longitude,Network Type,Filing Maturity,Brought into Use,Due Diligence Match,Suspended,Longitudinal Distance,Eligible,Link
MADAR-145W,United Arab Emirates 🇦🇪,145.0°W,Non-Planned,Early-Stage,No,n/a,No,0.03°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-145W&sel_satname=MADAR-145W&plan_id=
USGON-7,United States 🇺🇸,145.0°W,Non-Planned,Late-Stage,Yes,No,No,0.03°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=USGON-7&sel_satname=USGON-7&plan_id=
IRIS-9B,United States 🇺🇸,145.0°W,Non-Planned,Early-Stage,No,n/a,No,0.03°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=IRIS-9B&sel_satname=IRIS-9B&plan_id=
USOBO-14C,United States 🇺🇸,145.0°W,Non-Planned,Early-Stage,No,n/a,No,0.03°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USOBO-14C&sel_satname=USOBO-14C&plan_id=
FLTSATCOM-C W PAC-3,United States 🇺🇸,145.0°W,Non-Planned,Late-Stage,Yes,Partial,No,0.03°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=FLTSATCOM-C+W+PAC-3&sel_satname=FLTSATCOM-C+W+PAC-3&plan_id=
USOBO-14B,United States 🇺🇸,145.0°W,Non-Planned,Early-Stage,No,n/a,No,0.03°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USOBO-14B&sel_satname=USOBO-14B&plan_id=
P-197-2,United States 🇺🇸,144.0°W,Non-Planned,Late-Stage,Yes,No,No,0.97°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=P-197-2&sel_satname=P-197-2&plan_id=
USTRO-2,United States 🇺🇸,144.0°W,Non-Planned,Late-Stage,Yes,Partial,No,0.97°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USTRO-2&sel_satname=USTRO-2&plan_id=
USCSID-W2,United States 🇺🇸,144.0°W,Non-Planned,Late-Stage,Yes,Partial,No,0.97°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USCSID-W2&sel_satname=USCSID-W2&plan_id=
P92-6,United States 🇺🇸,144.0°W,Non-Planned,Late-Stage,Yes,No,No,0.97°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=P92-6&sel_satname=P92-6&plan_id=
USLL-PAC,United States 🇺🇸,144.0°W,Non-Planned,Late-Stage,Yes,No,No,0.97°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=USLL-PAC&sel_satname=USLL-PAC&plan_id=
P92-6A,United States 🇺🇸,144.0°W,Non-Planned,Late-Stage,Yes,No,No,0.97°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=P92-6A&sel_satname=P92-6A&plan_id=
