Network,ITU Administration,Longitude,Network Type,Filing Maturity,Brought into Use,Due Diligence Match,Suspended,Longitudinal Distance,Eligible,Link
USASAT-24P,United States 🇺🇸,123.0°W,Non-Planned,Late-Stage,Yes,Partial,No,0.03°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-24P&sel_satname=USASAT-24P&plan_id=
USASAT-35E,United States 🇺🇸,123.0°W,Non-Planned,Late-Stage,Yes,Partial,No,0.03°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-35E&sel_satname=USASAT-35E&plan_id=
MADAR-123W-3,United Arab Emirates 🇦🇪,123.0°W,Non-Planned,Early-Stage,No,n/a,No,0.03°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-123W-3&sel_satname=MADAR-123W-3&plan_id=
USASAT-60H,United States 🇺🇸,123.0°W,Non-Planned,Late-Stage,Yes,Full,No,0.03°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-60H&sel_satname=USASAT-60H&plan_id=
MADAR-123W_1,United Arab Emirates 🇦🇪,123.0°W,Non-Planned,Early-Stage,No,n/a,No,0.03°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-123W_1&sel_satname=MADAR-123W_1&plan_id=
MADAR-123W-2,United Arab Emirates 🇦🇪,123.0°W,Non-Planned,Early-Stage,No,n/a,No,0.03°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-123W-2&sel_satname=MADAR-123W-2&plan_id=
MADAR-123W,United Arab Emirates 🇦🇪,123.0°W,Non-Planned,Early-Stage,No,n/a,No,0.03°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-123W&sel_satname=MADAR-123W&plan_id=
CD-SAT 123.1W,France 🇫🇷,123.1°W,Non-Planned,Late-Stage,Yes,No,Total,0.07°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=CD-SAT+123.1W&sel_satname=CD-SAT+123.1W&plan_id=
INMARSAT-8-123W1,United Kingdom 🇬🇧,123.1°W,Non-Planned,Early-Stage,No,n/a,No,0.07°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=INMARSAT-8-123W1&sel_satname=INMARSAT-8-123W1&plan_id=
CD-SAT-FSS-123.1W-G2,France 🇫🇷,123.1°W,Planned,Early-Stage,No,n/a,No,0.07°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=CD-SAT-FSS-123.1W-G2&sel_satname=CD-SAT-FSS-123.1W-G2&plan_id=plan
UKFSS-122.9W,United Kingdom 🇬🇧,122.9°W,Planned,Early-Stage,No,n/a,No,0.13°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=UKFSS-122.9W&sel_satname=UKFSS-122.9W&plan_id=plan
UKNETSAT-122.9W,United Kingdom 🇬🇧,122.9°W,Non-Planned,Early-Stage,No,n/a,No,0.13°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=UKNETSAT-122.9W&sel_satname=UKNETSAT-122.9W&plan_id=
