Network,ITU Administration,Longitude,Network Type,Filing Maturity,Brought into Use,Due Diligence Match,Suspended,Longitudinal Distance,Eligible,Link
CANGYU-3,China 🇨🇳,96.0°W,Non-Planned,Early-Stage,No,n/a,No,0.14°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CANGYU-3&sel_satname=CANGYU-3&plan_id=
CTR00000,Costa Rica 🇨🇷,96.0°W,Planned,Early-Stage,No,n/a,No,0.14°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=CTR00000&sel_satname=CTR00000&plan_id=plan
USASAT-76E,United States 🇺🇸,95.2°W,Non-Planned,Late-Stage,No,No,No,0.66°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=USASAT-76E&sel_satname=USASAT-76E&plan_id=
UKSAT-44,United Kingdom 🇬🇧,95.2°W,Non-Planned,Early-Stage,No,n/a,No,0.66°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=UKSAT-44&sel_satname=UKSAT-44&plan_id=
WILLEMSTAD-1,Netherlands 🇳🇱,95.15°W,Non-Planned,Early-Stage,No,n/a,No,0.71°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=WILLEMSTAD-1&sel_satname=WILLEMSTAD-1&plan_id=
BSSNET4-95W,Netherlands 🇳🇱,95.15°W,Non-Planned,Late-Stage,Yes,No,Total,0.71°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=BSSNET4-95W&sel_satname=BSSNET4-95W&plan_id=
UKSAT-31,United Kingdom 🇬🇧,95.0°W,Non-Planned,Late-Stage,Yes,No,No,0.86°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=UKSAT-31&sel_satname=UKSAT-31&plan_id=
USASAT-24L,United States 🇺🇸,95.0°W,Non-Planned,Late-Stage,Yes,Partial,No,0.86°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-24L&sel_satname=USASAT-24L&plan_id=
YAHSAT-FSS-95W,United Arab Emirates 🇦🇪,95.0°W,Planned,Early-Stage,No,n/a,No,0.86°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=YAHSAT-FSS-95W&sel_satname=YAHSAT-FSS-95W&plan_id=plan
USASAT-35L,United States 🇺🇸,95.0°W,Non-Planned,Late-Stage,Yes,Partial,No,0.86°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-35L&sel_satname=USASAT-35L&plan_id=
UKSAT-10,United Kingdom 🇬🇧,95.0°W,Non-Planned,Late-Stage,Yes,No,No,0.86°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=UKSAT-10&sel_satname=UKSAT-10&plan_id=
USASAT-60F,United States 🇺🇸,95.0°W,Non-Planned,Late-Stage,Yes,Partial,No,0.86°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-60F&sel_satname=USASAT-60F&plan_id=
USASAT-70O,United States 🇺🇸,95.0°W,Non-Planned,Late-Stage,Yes,Partial,No,0.86°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-70O&sel_satname=USASAT-70O&plan_id=
USASAT-23F,United States 🇺🇸,95.0°W,Non-Planned,Late-Stage,Yes,Full,No,0.86°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-23F&sel_satname=USASAT-23F&plan_id=
BLUE1,Papua New Guinea 🇵🇬,95.0°W,Non-Planned,Late-Stage,Yes,No,No,0.86°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=BLUE1&sel_satname=BLUE1&plan_id=
MADAR-95W-2,United Arab Emirates 🇦🇪,95.0°W,Non-Planned,Early-Stage,No,n/a,No,0.86°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-95W-2&sel_satname=MADAR-95W-2&plan_id=
OHO-30B-95W-2,Sweden 🇸🇪,95.0°W,Planned,Early-Stage,No,n/a,No,0.86°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=OHO-30B-95W-2&sel_satname=OHO-30B-95W-2&plan_id=plan
UKSAT-43,United Kingdom 🇬🇧,95.0°W,Non-Planned,Early-Stage,No,n/a,No,0.86°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=UKSAT-43&sel_satname=UKSAT-43&plan_id=
USASAT-60U,United States 🇺🇸,95.0°W,Non-Planned,Late-Stage,Yes,Partial,No,0.86°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-60U&sel_satname=USASAT-60U&plan_id=
USOBO-2C,United States 🇺🇸,96.8°W,Non-Planned,Early-Stage,No,n/a,No,0.94°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USOBO-2C&sel_satname=USOBO-2C&plan_id=
USOBO-2B,United States 🇺🇸,96.8°W,Non-Planned,Early-Stage,No,n/a,No,0.94°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USOBO-2B&sel_satname=USOBO-2B&plan_id=
USOBO-2,United States 🇺🇸,96.8°W,Non-Planned,Late-Stage,Yes,No,No,0.94°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=USOBO-2&sel_satname=USOBO-2&plan_id=
