Network,ITU Administration,Longitude,Network Type,Filing Maturity,Brought into Use,Due Diligence Match,Suspended,Longitudinal Distance,Eligible,Link
F-SAT-N7-83.5E,France 🇫🇷,83.5°E,Non-Planned,Early-Stage,No,n/a,No,0.02°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N7-83.5E&sel_satname=F-SAT-N7-83.5E&plan_id=
F-SAT-30B-83.5E,France 🇫🇷,83.5°E,Planned,Early-Stage,No,n/a,No,0.02°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-30B-83.5E&sel_satname=F-SAT-30B-83.5E&plan_id=plan
INMARSAT-KA 83.5E,United Kingdom 🇬🇧,83.5°E,Non-Planned,Late-Stage,Yes,No,No,0.02°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INMARSAT-KA+83.5E&sel_satname=INMARSAT-KA+83.5E&plan_id=
SE-KA-83.5E,Norway 🇳🇴,83.5°E,Non-Planned,Late-Stage,Yes,No,No,0.02°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=SE-KA-83.5E&sel_satname=SE-KA-83.5E&plan_id=
INMARSAT-6-83E5,United Kingdom 🇬🇧,83.5°E,Non-Planned,Late-Stage,Yes,No,No,0.02°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INMARSAT-6-83E5&sel_satname=INMARSAT-6-83E5&plan_id=
ITS-AR-83.5E,China 🇨🇳,83.5°E,Non-Planned,Early-Stage,No,n/a,No,0.02°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ITS-AR-83.5E&sel_satname=ITS-AR-83.5E&plan_id=
COMPASS-B-84E,China 🇨🇳,84.0°E,Non-Planned,Late-Stage,Yes,Partial,No,0.48°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=COMPASS-B-84E&sel_satname=COMPASS-B-84E&plan_id=
COMPASS-A-84E,China 🇨🇳,84.0°E,Non-Planned,Late-Stage,Yes,No,No,0.48°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=COMPASS-A-84E&sel_satname=COMPASS-A-84E&plan_id=
CHINASAT-34B,China 🇨🇳,84.0°E,Non-Planned,Late-Stage,Yes,Partial,No,0.48°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=CHINASAT-34B&sel_satname=CHINASAT-34B&plan_id=
COMPASS-30B-84E,China 🇨🇳,84.0°E,Planned,Late-Stage,No,No,No,0.48°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=COMPASS-30B-84E&sel_satname=COMPASS-30B-84E&plan_id=plan
INSAT-2E83,India 🇮🇳,83.0°E,Non-Planned,Late-Stage,Yes,No,No,0.52°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INSAT-2E83&sel_satname=INSAT-2E83&plan_id=
INSAT-TTC(83)E,India 🇮🇳,83.0°E,Non-Planned,Late-Stage,Yes,No,No,0.52°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INSAT-TTC(83)E&sel_satname=INSAT-TTC(83)E&plan_id=
INSAT-2M (83),India 🇮🇳,83.0°E,Non-Planned,Late-Stage,Yes,No,No,0.52°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INSAT-2M+(83)&sel_satname=INSAT-2M+(83)&plan_id=
INSAT-NAVR(83),India 🇮🇳,83.0°E,Non-Planned,Late-Stage,Yes,No,No,0.52°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INSAT-NAVR(83)&sel_satname=INSAT-NAVR(83)&plan_id=
INSAT-METC(83E),India 🇮🇳,83.0°E,Non-Planned,Early-Stage,No,n/a,No,0.52°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=INSAT-METC(83E)&sel_satname=INSAT-METC(83E)&plan_id=
MEASAT-ROUTE-6,Malaysia 🇲🇾,83.0°E,Non-Planned,Early-Stage,No,n/a,No,0.52°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MEASAT-ROUTE-6&sel_satname=MEASAT-ROUTE-6&plan_id=
INSAT-KU17(83E),India 🇮🇳,83.0°E,Non-Planned,Early-Stage,No,n/a,No,0.52°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=INSAT-KU17(83E)&sel_satname=INSAT-KU17(83E)&plan_id=
INSAT-EK83,India 🇮🇳,83.0°E,Non-Planned,Late-Stage,Yes,No,No,0.52°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INSAT-EK83&sel_satname=INSAT-EK83&plan_id=
INSAT-2K (83),India 🇮🇳,83.0°E,Non-Planned,Late-Stage,Yes,No,No,0.52°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INSAT-2K+(83)&sel_satname=INSAT-2K+(83)&plan_id=
