Network,ITU Administration,Longitude,Network Type,Filing Maturity,Brought into Use,Due Diligence Match,Suspended,Longitudinal Distance,Eligible,Link
F-SAT-N7-2.7E,France 🇫🇷,2.7°E,Non-Planned,Early-Stage,No,n/a,No,0.01°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N7-2.7E&sel_satname=F-SAT-N7-2.7E&plan_id=
RASCOM-2F,Côte d'Ivoire 🇨🇮,2.9°E,Planned,Late-Stage,Yes,No,No,0.21°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=RASCOM-2F&sel_satname=RASCOM-2F&plan_id=plan
RASCOM-1F,Côte d'Ivoire 🇨🇮,2.9°E,Planned,Late-Stage,Yes,No,No,0.21°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=RASCOM-1F&sel_satname=RASCOM-1F&plan_id=plan
F-SAT-N-E-3E,France 🇫🇷,3.0°E,Non-Planned,Late-Stage,Yes,Partial,No,0.31°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=F-SAT-N-E-3E&sel_satname=F-SAT-N-E-3E&plan_id=
GEOSAT-3E,France 🇫🇷,3.0°E,Non-Planned,Late-Stage,Yes,Partial,No,0.31°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=GEOSAT-3E&sel_satname=GEOSAT-3E&plan_id=
TELECOM-2C,France 🇫🇷,3.0°E,Non-Planned,Late-Stage,Yes,Partial,No,0.31°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=TELECOM-2C&sel_satname=TELECOM-2C&plan_id=
F-SAT-B1-E-3E,France 🇫🇷,3.0°E,Non-Planned,Late-Stage,Yes,Partial,No,0.31°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=F-SAT-B1-E-3E&sel_satname=F-SAT-B1-E-3E&plan_id=
TELECOM-3C,France 🇫🇷,3.0°E,Non-Planned,Late-Stage,Yes,Partial,No,0.31°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=TELECOM-3C&sel_satname=TELECOM-3C&plan_id=
VIDEOSAT-8-KU-C,France 🇫🇷,3.0°E,Non-Planned,Late-Stage,Yes,Partial,No,0.31°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=VIDEOSAT-8-KU-C&sel_satname=VIDEOSAT-8-KU-C&plan_id=
TELECOM-4C,France 🇫🇷,3.0°E,Non-Planned,Late-Stage,Yes,Partial,No,0.31°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=TELECOM-4C&sel_satname=TELECOM-4C&plan_id=
FMS5-3E,France 🇫🇷,3.0°E,Non-Planned,Early-Stage,No,n/a,No,0.31°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=FMS5-3E&sel_satname=FMS5-3E&plan_id=
F-SAT-N3-3E,France 🇫🇷,3.0°E,Non-Planned,Late-Stage,Yes,Partial,No,0.31°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=F-SAT-N3-3E&sel_satname=F-SAT-N3-3E&plan_id=
F-SAT-N10-3E,France 🇫🇷,3.0°E,Non-Planned,Early-Stage,No,n/a,No,0.31°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N10-3E&sel_satname=F-SAT-N10-3E&plan_id=
INMARSAT-7-3E,Switzerland 🇨🇭,3.0°E,Non-Planned,Early-Stage,No,n/a,No,0.31°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=INMARSAT-7-3E&sel_satname=INMARSAT-7-3E&plan_id=
F-SAT-N7-3E,France 🇫🇷,3.0°E,Non-Planned,Early-Stage,No,n/a,No,0.31°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N7-3E&sel_satname=F-SAT-N7-3E&plan_id=
MADAR-2E,United Arab Emirates 🇦🇪,2.0°E,Non-Planned,Early-Stage,No,n/a,No,0.69°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-2E&sel_satname=MADAR-2E&plan_id=
MADAR-2E-2,United Arab Emirates 🇦🇪,2.0°E,Non-Planned,Early-Stage,No,n/a,No,0.69°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-2E-2&sel_satname=MADAR-2E-2&plan_id=
USGOVSAT-22B,United States 🇺🇸,2.0°E,Non-Planned,Early-Stage,No,n/a,No,0.69°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USGOVSAT-22B&sel_satname=USGOVSAT-22B&plan_id=
BUL-QV-1.9E,Bulgaria 🇧🇬,1.9°E,Non-Planned,Early-Stage,No,n/a,No,0.79°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=BUL-QV-1.9E&sel_satname=BUL-QV-1.9E&plan_id=
BULSAT-1.9E,Bulgaria 🇧🇬,1.9°E,Non-Planned,Late-Stage,Yes,No,No,0.79°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=BULSAT-1.9E&sel_satname=BULSAT-1.9E&plan_id=
BULSAT-BSS-1.2W-W,Bulgaria 🇧🇬,1.9°E,Non-Planned,Late-Stage,Yes,No,No,0.79°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=BULSAT-BSS-1.2W-W&sel_satname=BULSAT-BSS-1.2W-W&plan_id=
BULSAT-30B-1.9E,Bulgaria 🇧🇬,1.9°E,Planned,Late-Stage,Yes,No,No,0.79°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=BULSAT-30B-1.9E&sel_satname=BULSAT-30B-1.9E&plan_id=plan
MSG-3.5E,Germany 🇩🇪,3.5°E,Non-Planned,Late-Stage,Yes,No,No,0.81°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=MSG-3.5E&sel_satname=MSG-3.5E&plan_id=
