Network,ITU Administration,Longitude,Network Type,Filing Maturity,Brought into Use,Due Diligence Match,Suspended,Longitudinal Distance,Eligible,Link
USASAT-50B,United States 🇺🇸,133.0°W,Non-Planned,Late-Stage,Yes,Partial,No,0.00°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-50B&sel_satname=USASAT-50B&plan_id=
USASAT-22A,United States 🇺🇸,133.0°W,Non-Planned,Late-Stage,Yes,Partial,No,0.00°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-22A&sel_satname=USASAT-22A&plan_id=
USASAT-35Y,United States 🇺🇸,133.0°W,Non-Planned,Late-Stage,Yes,Partial,No,0.00°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-35Y&sel_satname=USASAT-35Y&plan_id=
USASAT-80D,United States 🇺🇸,133.0°W,Non-Planned,Early-Stage,No,n/a,No,0.00°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USASAT-80D&sel_satname=USASAT-80D&plan_id=
F-SAT-N8-133W,France 🇫🇷,133.0°W,Non-Planned,Early-Stage,No,n/a,No,0.00°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N8-133W&sel_satname=F-SAT-N8-133W&plan_id=
F-SAT-N4-133W,France 🇫🇷,133.0°W,Non-Planned,Late-Stage,Yes,No,No,0.00°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=F-SAT-N4-133W&sel_satname=F-SAT-N4-133W&plan_id=
USASAT-80D-1,United States 🇺🇸,133.0°W,Non-Planned,Early-Stage,No,n/a,No,0.00°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USASAT-80D-1&sel_satname=USASAT-80D-1&plan_id=
F-SAT-30B-133W,France 🇫🇷,133.0°W,Planned,Early-Stage,No,n/a,No,0.00°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-30B-133W&sel_satname=F-SAT-30B-133W&plan_id=plan
F-SAT-E-30B-133W,France 🇫🇷,133.0°W,Planned,Late-Stage,No,No,Total,0.00°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=F-SAT-E-30B-133W&sel_satname=F-SAT-E-30B-133W&plan_id=plan
F-SAT-N6-133W,France 🇫🇷,133.0°W,Non-Planned,Early-Stage,No,n/a,No,0.00°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N6-133W&sel_satname=F-SAT-N6-133W&plan_id=
