Network,ITU Administration,Longitude,Network Type,Filing Maturity,Brought into Use,Due Diligence Match,Suspended,Longitudinal Distance,Eligible,Link
F-SAT-N-E-3E,France 🇫🇷,3.0°E,Non-Planned,Late-Stage,Yes,Full,No,0.04°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=F-SAT-N-E-3E&sel_satname=F-SAT-N-E-3E&plan_id=
VIDEOSAT-8-KU-C,France 🇫🇷,3.0°E,Non-Planned,Late-Stage,Yes,Partial,No,0.04°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=VIDEOSAT-8-KU-C&sel_satname=VIDEOSAT-8-KU-C&plan_id=
TELECOM-4C,France 🇫🇷,3.0°E,Non-Planned,Late-Stage,Yes,Partial,No,0.04°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=TELECOM-4C&sel_satname=TELECOM-4C&plan_id=
F-SAT-B1-E-3E,France 🇫🇷,3.0°E,Non-Planned,Late-Stage,Yes,Full,No,0.04°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=F-SAT-B1-E-3E&sel_satname=F-SAT-B1-E-3E&plan_id=
TELECOM-2C,France 🇫🇷,3.0°E,Non-Planned,Late-Stage,Yes,Partial,No,0.04°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=TELECOM-2C&sel_satname=TELECOM-2C&plan_id=
GEOSAT-3E,France 🇫🇷,3.0°E,Non-Planned,Late-Stage,Yes,Partial,No,0.04°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=GEOSAT-3E&sel_satname=GEOSAT-3E&plan_id=
TELECOM-3C,France 🇫🇷,3.0°E,Non-Planned,Late-Stage,Yes,Partial,No,0.04°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=TELECOM-3C&sel_satname=TELECOM-3C&plan_id=
INMARSAT-7-3E,Switzerland 🇨🇭,3.0°E,Non-Planned,Early-Stage,No,n/a,No,0.04°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=INMARSAT-7-3E&sel_satname=INMARSAT-7-3E&plan_id=
F-SAT-N7-3E,France 🇫🇷,3.0°E,Non-Planned,Early-Stage,No,n/a,No,0.04°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N7-3E&sel_satname=F-SAT-N7-3E&plan_id=
FMS5-3E,France 🇫🇷,3.0°E,Non-Planned,Early-Stage,No,n/a,No,0.04°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=FMS5-3E&sel_satname=FMS5-3E&plan_id=
F-SAT-N3-3E,France 🇫🇷,3.0°E,Non-Planned,Late-Stage,Yes,Full,No,0.04°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=F-SAT-N3-3E&sel_satname=F-SAT-N3-3E&plan_id=
F-SAT-N10-3E,France 🇫🇷,3.0°E,Non-Planned,Early-Stage,No,n/a,No,0.04°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N10-3E&sel_satname=F-SAT-N10-3E&plan_id=
RASCOM-2F,Côte d'Ivoire 🇨🇮,2.9°E,Planned,Late-Stage,Yes,No,No,0.14°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=RASCOM-2F&sel_satname=RASCOM-2F&plan_id=plan
RASCOM-1F,Côte d'Ivoire 🇨🇮,2.9°E,Planned,Late-Stage,Yes,No,No,0.14°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=RASCOM-1F&sel_satname=RASCOM-1F&plan_id=plan
F-SAT-N7-2.7E,France 🇫🇷,2.7°E,Non-Planned,Early-Stage,No,n/a,No,0.34°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N7-2.7E&sel_satname=F-SAT-N7-2.7E&plan_id=
MSG-3.5E,Germany 🇩🇪,3.5°E,Non-Planned,Late-Stage,Yes,No,No,0.46°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=MSG-3.5E&sel_satname=MSG-3.5E&plan_id=
MILSTAR 13,United States 🇺🇸,4.0°E,Non-Planned,Late-Stage,Yes,No,No,0.96°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=MILSTAR+13&sel_satname=MILSTAR+13&plan_id=
USGAE-2,United States 🇺🇸,4.0°E,Non-Planned,Late-Stage,Yes,No,No,0.96°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USGAE-2&sel_satname=USGAE-2&plan_id=
