Network,ITU Administration,Longitude,Network Type,Filing Maturity,Brought into Use,Due Diligence Match,Suspended,Longitudinal Distance,Eligible,Link
USASAT-28G,United States 🇺🇸,115.0°W,Non-Planned,Late-Stage,Yes,Partial,No,0.12°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-28G&sel_satname=USASAT-28G&plan_id=
IOMSAT-11A,United Kingdom 🇬🇧,115.0°W,Non-Planned,Late-Stage,Yes,No,No,0.12°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=IOMSAT-11A&sel_satname=IOMSAT-11A&plan_id=
V-RDBS1,Netherlands 🇳🇱,115.0°W,Non-Planned,Early-Stage,No,n/a,No,0.12°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=V-RDBS1&sel_satname=V-RDBS1&plan_id=
USASAT-28Q,United States 🇺🇸,115.25°W,Non-Planned,Early-Stage,No,n/a,No,0.13°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USASAT-28Q&sel_satname=USASAT-28Q&plan_id=
CAN0WEST,Canada 🇨🇦,114.9°W,Planned,Early-Stage,No,n/a,No,0.22°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=CAN0WEST&sel_satname=CAN0WEST&plan_id=plan
MEXSAT114.9 L-CEXT-X,Mexico 🇲🇽,114.9°W,Non-Planned,Late-Stage,Yes,No,No,0.22°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=MEXSAT114.9+L-CEXT-X&sel_satname=MEXSAT114.9+L-CEXT-X&plan_id=
KYPROS-114.9W,Cyprus 🇨🇾,114.9°W,Non-Planned,Early-Stage,No,n/a,No,0.22°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=KYPROS-114.9W&sel_satname=KYPROS-114.9W&plan_id=
MEXSAT 114.9 KU EXT,Mexico 🇲🇽,114.9°W,Non-Planned,Late-Stage,Yes,No,No,0.22°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=MEXSAT+114.9+KU+EXT&sel_satname=MEXSAT+114.9+KU+EXT&plan_id=
MEXSAT-114.9 C-KU,Mexico 🇲🇽,114.9°W,Non-Planned,Late-Stage,Yes,No,No,0.22°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=MEXSAT-114.9+C-KU&sel_satname=MEXSAT-114.9+C-KU&plan_id=
CANSAT-17,Canada 🇨🇦,114.9°W,Non-Planned,Late-Stage,Yes,No,No,0.22°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=CANSAT-17&sel_satname=CANSAT-17&plan_id=
F-SAT-30B-115.9W,France 🇫🇷,115.9°W,Planned,Early-Stage,No,n/a,No,0.78°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-30B-115.9W&sel_satname=F-SAT-30B-115.9W&plan_id=plan
GDL00002,France 🇫🇷,115.9°W,Planned,Early-Stage,No,n/a,No,0.78°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=GDL00002&sel_satname=GDL00002&plan_id=plan
GUF00002,France 🇫🇷,115.9°W,Planned,Early-Stage,No,n/a,No,0.78°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=GUF00002&sel_satname=GUF00002&plan_id=plan
OCE00000,France 🇫🇷,115.9°W,Planned,Early-Stage,No,n/a,No,0.78°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=OCE00000&sel_satname=OCE00000&plan_id=plan
