Network,ITU Administration,Longitude,Network Type,Filing Maturity,Brought into Use,Due Diligence Match,Suspended,Longitudinal Distance,Eligible,Link
GOMS-M,Russian Federation 🇷🇺,76.0°E,Non-Planned,Late-Stage,Yes,No,No,0.02°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=GOMS-M&sel_satname=GOMS-M&plan_id=
KYPROS-75.75E,Cyprus 🇨🇾,75.75°E,Non-Planned,Early-Stage,No,n/a,No,0.27°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=KYPROS-75.75E&sel_satname=KYPROS-75.75E&plan_id=
APSTAR-G5-76.5E,China 🇨🇳,76.5°E,Non-Planned,Early-Stage,No,n/a,No,0.48°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=APSTAR-G5-76.5E&sel_satname=APSTAR-G5-76.5E&plan_id=
APSTAR-4,China 🇨🇳,76.5°E,Non-Planned,Late-Stage,Yes,No,No,0.48°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=APSTAR-4&sel_satname=APSTAR-4&plan_id=
APSTAR-76E,China 🇨🇳,76.5°E,Non-Planned,Late-Stage,Yes,No,No,0.48°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=APSTAR-76E&sel_satname=APSTAR-76E&plan_id=
APSTAR-76E-R,China 🇨🇳,76.5°E,Non-Planned,Late-Stage,Yes,No,No,0.48°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=APSTAR-76E-R&sel_satname=APSTAR-76E-R&plan_id=
MDA00000,Moldova 🇲🇩,75.1°E,Planned,Early-Stage,No,n/a,No,0.92°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=MDA00000&sel_satname=MDA00000&plan_id=plan
CSSRD-2,Russian Federation 🇷🇺,77.0°E,Planned,Late-Stage,Yes,Partial,No,0.98°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=CSSRD-2&sel_satname=CSSRD-2&plan_id=plan
QATARSAT-30B-77E,Qatar 🇶🇦,77.0°E,Planned,Early-Stage,No,n/a,No,0.98°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=QATARSAT-30B-77E&sel_satname=QATARSAT-30B-77E&plan_id=plan
OHO-30B-77E,Sweden 🇸🇪,77.0°E,Planned,Early-Stage,No,n/a,No,0.98°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=OHO-30B-77E&sel_satname=OHO-30B-77E&plan_id=plan
QATARSAT-G5-77E,Qatar 🇶🇦,77.0°E,Non-Planned,Early-Stage,No,n/a,No,0.98°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=QATARSAT-G5-77E&sel_satname=QATARSAT-G5-77E&plan_id=
CSSRD-2,Russian Federation 🇷🇺,77.0°E,Non-Planned,Late-Stage,Yes,Partial,No,0.98°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=CSSRD-2&sel_satname=CSSRD-2&plan_id=
CTDRS-2-77E,China 🇨🇳,77.0°E,Non-Planned,Late-Stage,Yes,No,Total,0.98°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=CTDRS-2-77E&sel_satname=CTDRS-2-77E&plan_id=
CTDRS-1-77E,China 🇨🇳,77.0°E,Non-Planned,Late-Stage,Yes,No,Total,0.98°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=CTDRS-1-77E&sel_satname=CTDRS-1-77E&plan_id=
MADAR-77E,United Arab Emirates 🇦🇪,77.0°E,Non-Planned,Early-Stage,No,n/a,No,0.98°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-77E&sel_satname=MADAR-77E&plan_id=
