Network,ITU Administration,Longitude,Network Type,Filing Maturity,Brought into Use,Due Diligence Match,Suspended,Longitudinal Distance,Link
MT-SAT-FSS-137E,France 🇫🇷,137.0°E,Planned,Early-Stage,No,n/a,No,0.48°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=MT-SAT-FSS-137E&sel_satname=MT-SAT-FSS-137E&plan_id=plan
G4SAT-138E,China 🇨🇳,138.0°E,Non-Planned,Early-Stage,No,n/a,No,0.52°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=G4SAT-138E&sel_satname=G4SAT-138E&plan_id=
TONGASAT-2/138E,Tonga 🇹🇴,138.0°E,Non-Planned,Late-Stage,Yes,No,No,0.52°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=TONGASAT-2/138E&sel_satname=TONGASAT-2/138E&plan_id=
CHINASAT-138E,China 🇨🇳,138.0°E,Non-Planned,Late-Stage,Yes,No,No,0.52°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=CHINASAT-138E&sel_satname=CHINASAT-138E&plan_id=
TONGASAT C/KU-3,Tonga 🇹🇴,138.0°E,Non-Planned,Late-Stage,Yes,No,No,0.52°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=TONGASAT+C/KU-3&sel_satname=TONGASAT+C/KU-3&plan_id=
APSTAR-5-KU,China 🇨🇳,138.0°E,Non-Planned,Late-Stage,Yes,No,No,0.52°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=APSTAR-5-KU&sel_satname=APSTAR-5-KU&plan_id=
HISPASAT-69A,Spain 🇪🇸,138.0°E,Non-Planned,Early-Stage,No,n/a,No,0.52°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=HISPASAT-69A&sel_satname=HISPASAT-69A&plan_id=
N-SAT-Y21-138E,Japan 🇯🇵,138.0°E,Non-Planned,Early-Stage,No,n/a,No,0.52°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=N-SAT-Y21-138E&sel_satname=N-SAT-Y21-138E&plan_id=
IOMSAT-KA-138E,United Kingdom 🇬🇧,138.0°E,Non-Planned,Early-Stage,No,Partial,No,0.52°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=IOMSAT-KA-138E&sel_satname=IOMSAT-KA-138E&plan_id=
SE-8-138E,Norway 🇳🇴,138.0°E,Non-Planned,Early-Stage,No,n/a,No,0.52°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=SE-8-138E&sel_satname=SE-8-138E&plan_id=
MADAR-138E,United Arab Emirates 🇦🇪,138.0°E,Non-Planned,Early-Stage,No,n/a,No,0.52°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-138E&sel_satname=MADAR-138E&plan_id=
TONGASAT AP-3,Tonga 🇹🇴,138.0°E,Non-Planned,Late-Stage,Yes,No,No,0.52°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=TONGASAT+AP-3&sel_satname=TONGASAT+AP-3&plan_id=
TSAT-1,United Kingdom 🇬🇧,138.0°E,Non-Planned,Early-Stage,No,n/a,No,0.52°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=TSAT-1&sel_satname=TSAT-1&plan_id=
F-SAT-N6-136.5E,France 🇫🇷,136.5°E,Non-Planned,Early-Stage,No,n/a,No,0.98°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N6-136.5E&sel_satname=F-SAT-N6-136.5E&plan_id=
F-SAT-30B-136.5E,France 🇫🇷,136.5°E,Planned,Early-Stage,No,n/a,No,0.98°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-30B-136.5E&sel_satname=F-SAT-30B-136.5E&plan_id=plan
F-SAT-P-30B-136.5E-F,France 🇫🇷,136.5°E,Planned,Early-Stage,No,n/a,No,0.98°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-P-30B-136.5E-F&sel_satname=F-SAT-P-30B-136.5E-F&plan_id=plan
F-SAT-N8-136.5E,France 🇫🇷,136.5°E,Non-Planned,Early-Stage,No,n/a,No,0.98°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N8-136.5E&sel_satname=F-SAT-N8-136.5E&plan_id=
