Network,ITU Administration,Longitude,Network Type,Filing Maturity,Brought into Use,Due Diligence Match,Suspended,Longitudinal Distance,Link
EUTELSAT 3-13E,France 🇫🇷,13.0°E,Non-Planned,Late-Stage,Yes,No,No,0.47°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=EUTELSAT+3-13E&sel_satname=EUTELSAT+3-13E&plan_id=
F-SAT-N3-13E,France 🇫🇷,13.0°E,Non-Planned,Late-Stage,Yes,No,No,0.47°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=F-SAT-N3-13E&sel_satname=F-SAT-N3-13E&plan_id=
GENESIS-11,Germany 🇩🇪,13.0°E,Non-Planned,Late-Stage,Yes,No,No,0.47°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=GENESIS-11&sel_satname=GENESIS-11&plan_id=
F-SAT-N-E-13E,France 🇫🇷,13.0°E,Non-Planned,Late-Stage,Yes,No,No,0.47°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=F-SAT-N-E-13E&sel_satname=F-SAT-N-E-13E&plan_id=
F-SAT-T-E-13E,France 🇫🇷,13.0°E,Non-Planned,Late-Stage,Yes,No,No,0.47°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=F-SAT-T-E-13E&sel_satname=F-SAT-T-E-13E&plan_id=
EUTELSAT 2-13E,France 🇫🇷,13.0°E,Non-Planned,Late-Stage,Yes,No,No,0.47°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=EUTELSAT+2-13E&sel_satname=EUTELSAT+2-13E&plan_id=
F-SAT-N7-13E,France 🇫🇷,13.0°E,Non-Planned,Early-Stage,No,n/a,No,0.47°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N7-13E&sel_satname=F-SAT-N7-13E&plan_id=
EUTELSAT EXB-13E,France 🇫🇷,13.0°E,Planned,Late-Stage,Yes,No,No,0.47°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=EUTELSAT+EXB-13E&sel_satname=EUTELSAT+EXB-13E&plan_id=plan
F-SAT-RN-13E,France 🇫🇷,13.0°E,Non-Planned,Early-Stage,No,n/a,No,0.47°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-RN-13E&sel_satname=F-SAT-RN-13E&plan_id=
GENESIS-18,Germany 🇩🇪,13.0°E,Non-Planned,Early-Stage,No,n/a,No,0.47°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=GENESIS-18&sel_satname=GENESIS-18&plan_id=
F-SAT-P-30B-13E-F,France 🇫🇷,13.0°E,Planned,Early-Stage,No,n/a,No,0.47°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-P-30B-13E-F&sel_satname=F-SAT-P-30B-13E-F&plan_id=plan
F-SAT-E-30B-13E,France 🇫🇷,13.0°E,Planned,Late-Stage,Yes,No,No,0.47°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=F-SAT-E-30B-13E&sel_satname=F-SAT-E-30B-13E&plan_id=plan
F-SAT-30B-13E,France 🇫🇷,13.0°E,Planned,Early-Stage,No,n/a,No,0.47°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-30B-13E&sel_satname=F-SAT-30B-13E&plan_id=plan
EUTELSAT EXB-37.2W,France 🇫🇷,13.0°E,Planned,Late-Stage,Yes,No,No,0.47°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=EUTELSAT+EXB-37.2W&sel_satname=EUTELSAT+EXB-37.2W&plan_id=plan
GENESIS-8,Germany 🇩🇪,13.0°E,Non-Planned,Late-Stage,Yes,No,No,0.47°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=GENESIS-8&sel_satname=GENESIS-8&plan_id=
F-SAT-KU2-E-13E,France 🇫🇷,13.0°E,Non-Planned,Late-Stage,Yes,No,No,0.47°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=F-SAT-KU2-E-13E&sel_satname=F-SAT-KU2-E-13E&plan_id=
TOR-12M,Russian Federation 🇷🇺,14.0°E,Non-Planned,Late-Stage,Yes,No,No,0.53°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=TOR-12M&sel_satname=TOR-12M&plan_id=
ENSAT-12.8E,Russian Federation 🇷🇺,12.8°E,Non-Planned,Late-Stage,No,No,No,0.67°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ENSAT-12.8E&sel_satname=ENSAT-12.8E&plan_id=
F-SAT-P-30B-12.7E-F,France 🇫🇷,12.7°E,Planned,Early-Stage,No,n/a,No,0.77°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-P-30B-12.7E-F&sel_satname=F-SAT-P-30B-12.7E-F&plan_id=plan
CAF00000,Central African Rep. 🇨🇫,14.4°E,Planned,Early-Stage,No,n/a,No,0.93°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=CAF00000&sel_satname=CAF00000&plan_id=plan
