Network,ITU Administration,Longitude,Network Type,Filing Maturity,Brought into Use,Due Diligence Match,Suspended,Longitudinal Distance,Link
MADAR-15E,United Arab Emirates 🇦🇪,15.0°E,Non-Planned,Early-Stage,No,n/a,No,0.02°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-15E&sel_satname=MADAR-15E&plan_id=
RGS-S-15E,Russian Federation 🇷🇺,15.0°E,Non-Planned,Early-Stage,No,n/a,No,0.02°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=RGS-S-15E&sel_satname=RGS-S-15E&plan_id=
GALS-12,Russian Federation 🇷🇺,15.0°E,Non-Planned,Late-Stage,Yes,No,No,0.02°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=GALS-12&sel_satname=GALS-12&plan_id=
VOLNA-23,Russian Federation 🇷🇺,15.0°E,Non-Planned,Late-Stage,Yes,No,No,0.02°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=VOLNA-23&sel_satname=VOLNA-23&plan_id=
STATSIONAR-23,Russian Federation 🇷🇺,15.0°E,Non-Planned,Late-Stage,Yes,No,No,0.02°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=STATSIONAR-23&sel_satname=STATSIONAR-23&plan_id=
YAHSAT-FSS-15E,United Arab Emirates 🇦🇪,15.0°E,Planned,Early-Stage,No,n/a,No,0.02°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=YAHSAT-FSS-15E&sel_satname=YAHSAT-FSS-15E&plan_id=plan
MADAR-15E_1,United Arab Emirates 🇦🇪,15.0°E,Non-Planned,Early-Stage,No,n/a,No,0.02°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-15E_1&sel_satname=MADAR-15E_1&plan_id=
F-SAT-N7-14.8E,France 🇫🇷,14.8°E,Non-Planned,Early-Stage,No,n/a,No,0.18°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N7-14.8E&sel_satname=F-SAT-N7-14.8E&plan_id=
POL00000,Poland 🇵🇱,15.2°E,Planned,Early-Stage,No,n/a,No,0.22°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=POL00000&sel_satname=POL00000&plan_id=plan
ARABSAT-10N-14.7E,Saudi Arabia 🇸🇦,14.7°E,Non-Planned,Early-Stage,No,n/a,No,0.28°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ARABSAT-10N-14.7E&sel_satname=ARABSAT-10N-14.7E&plan_id=
FUTURA-3,United Arab Emirates 🇦🇪,14.6°E,Non-Planned,Early-Stage,No,n/a,No,0.38°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=FUTURA-3&sel_satname=FUTURA-3&plan_id=
MADAR-14.6E,United Arab Emirates 🇦🇪,14.6°E,Non-Planned,Early-Stage,No,n/a,No,0.38°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-14.6E&sel_satname=MADAR-14.6E&plan_id=
SIGNSAT-15E,China 🇨🇳,14.5°E,Non-Planned,Early-Stage,No,n/a,No,0.48°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=SIGNSAT-15E&sel_satname=SIGNSAT-15E&plan_id=
