License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Matched Characteristics,Link
ISL00000,Iceland 🇮🇸,35.2°W,Planned,Planned (P/Plan/List),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=ISL00000&sel_satname=ISL00000&plan_id=plan
BOLSAT-2,Bolivia (Plurinational State of) 🇧🇴,34.8°W,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=BOLSAT-2&sel_satname=BOLSAT-2&plan_id=plan
BOL00000,Bolivia (Plurinational State of) 🇧🇴,34.8°W,Planned,Planned (P/Plan/List),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=BOL00000&sel_satname=BOL00000&plan_id=plan
TKSAT-2,Bolivia (Plurinational State of) 🇧🇴,34.8°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=TKSAT-2&sel_satname=TKSAT-2&plan_id=
INTELSAT9 325.5E,United States 🇺🇸,34.5°W,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INTELSAT9+325.5E&sel_satname=INTELSAT9+325.5E&plan_id=
INTELSAT7 325.5E,United States 🇺🇸,34.5°W,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INTELSAT7+325.5E&sel_satname=INTELSAT7+325.5E&plan_id=
USASAT-60W,United States 🇺🇸,34.5°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USASAT-60W&sel_satname=USASAT-60W&plan_id=
INTELSAT6 325.5E,United States 🇺🇸,34.5°W,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INTELSAT6+325.5E&sel_satname=INTELSAT6+325.5E&plan_id=
INTELSAT8 325.5E,United States 🇺🇸,34.5°W,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INTELSAT8+325.5E&sel_satname=INTELSAT8+325.5E&plan_id=
HISPASAT-7A,Spain 🇪🇸,36.0°W,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=HISPASAT-7A&sel_satname=HISPASAT-7A&plan_id=
HISPASAT-44A_1,Spain 🇪🇸,36.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=HISPASAT-44A_1&sel_satname=HISPASAT-44A_1&plan_id=
HISPASAT-44A,Spain 🇪🇸,36.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=HISPASAT-44A&sel_satname=HISPASAT-44A&plan_id=
HISPASAT-99A,Spain 🇪🇸,36.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=HISPASAT-99A&sel_satname=HISPASAT-99A&plan_id=
HISPASAT-62A,Spain 🇪🇸,36.0°W,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=HISPASAT-62A&sel_satname=HISPASAT-62A&plan_id=plan
HISPASAT-84A,Spain 🇪🇸,36.0°W,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=HISPASAT-84A&sel_satname=HISPASAT-84A&plan_id=plan
HISPASAT-2-36W,Spain 🇪🇸,36.0°W,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=HISPASAT-2-36W&sel_satname=HISPASAT-2-36W&plan_id=plan
HISPASAT-16A,Spain 🇪🇸,36.0°W,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=HISPASAT-16A&sel_satname=HISPASAT-16A&plan_id=
HISPASAT 2A 36W,Spain 🇪🇸,36.0°W,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=HISPASAT+2A+36W&sel_satname=HISPASAT+2A+36W&plan_id=
AGL00000,Angola 🇦🇴,36.1°W,Planned,Planned (P/Plan/List),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=AGL00000&sel_satname=AGL00000&plan_id=plan
