License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Matched Characteristics,Link
F-SAT-P-30B-174E-F,France 🇫🇷,174.0°E,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-P-30B-174E-F&sel_satname=F-SAT-P-30B-174E-F&plan_id=plan
HISPASAT-71A,Spain 🇪🇸,174.0°E,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=HISPASAT-71A&sel_satname=HISPASAT-71A&plan_id=plan
F-SAT-30B-174E,France 🇫🇷,174.0°E,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-30B-174E&sel_satname=F-SAT-30B-174E&plan_id=plan
HISPASAT-68A,Spain 🇪🇸,174.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=HISPASAT-68A&sel_satname=HISPASAT-68A&plan_id=
KYPROS-ACHILLEAS,Cyprus 🇨🇾,174.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=KYPROS-ACHILLEAS&sel_satname=KYPROS-ACHILLEAS&plan_id=
MADAR-174E,United Arab Emirates 🇦🇪,174.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-174E&sel_satname=MADAR-174E&plan_id=
MADAR-174E-2,United Arab Emirates 🇦🇪,174.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-174E-2&sel_satname=MADAR-174E-2&plan_id=
DFH-5-02B,China 🇨🇳,173.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=DFH-5-02B&sel_satname=DFH-5-02B&plan_id=
