License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Matched Characteristics,Link
QUETZSAT-77 TTC,Mexico 🇲🇽,77.0°W,Non-Planned,Notification of Space Station (N),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=QUETZSAT-77+TTC&sel_satname=QUETZSAT-77+TTC&plan_id=
HISPASAT-87A,Spain 🇪🇸,77.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=HISPASAT-87A&sel_satname=HISPASAT-87A&plan_id=
UKSAT-35,United Kingdom 🇬🇧,77.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=UKSAT-35&sel_satname=UKSAT-35&plan_id=
NSS-G7 77W,Netherlands 🇳🇱,77.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=NSS-G7+77W&sel_satname=NSS-G7+77W&plan_id=
UKSAT-41,United Kingdom 🇬🇧,77.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=UKSAT-41&sel_satname=UKSAT-41&plan_id=
HISPASAT-2-77W,Spain 🇪🇸,77.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=HISPASAT-2-77W&sel_satname=HISPASAT-2-77W&plan_id=
HISPASAT-52A,Spain 🇪🇸,77.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=HISPASAT-52A&sel_satname=HISPASAT-52A&plan_id=
USASAT-24Q,United States 🇺🇸,77.0°W,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-24Q&sel_satname=USASAT-24Q&plan_id=
SUR00000,Suriname 🇸🇷,77.0°W,Planned,Planned (P/Plan/List),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=SUR00000&sel_satname=SUR00000&plan_id=plan
INMARSAT-7-77W,Switzerland 🇨🇭,77.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=INMARSAT-7-77W&sel_satname=INMARSAT-7-77W&plan_id=
HISPASAT-1-77W,Spain 🇪🇸,77.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=HISPASAT-1-77W&sel_satname=HISPASAT-1-77W&plan_id=
ITS-AR-77.2W,China 🇨🇳,77.2°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ITS-AR-77.2W&sel_satname=ITS-AR-77.2W&plan_id=
CNSAT-76.5W,China 🇨🇳,76.5°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CNSAT-76.5W&sel_satname=CNSAT-76.5W&plan_id=
ATG00000,Antigua and Barbuda 🇦🇬,77.7°W,Planned,Planned (P/Plan/List),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=ATG00000&sel_satname=ATG00000&plan_id=plan
HND00000,Honduras 🇭🇳,76.2°W,Planned,Planned (P/Plan/List),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=HND00000&sel_satname=HND00000&plan_id=plan
USASAT-55Y,United States 🇺🇸,76.0°W,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-55Y&sel_satname=USASAT-55Y&plan_id=
UKSAT-KU-4,United Kingdom 🇬🇧,76.0°W,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=UKSAT-KU-4&sel_satname=UKSAT-KU-4&plan_id=
