License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Matched Characteristics,Link
USASAT-24N,United States 🇺🇸,129.0°W,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-24N&sel_satname=USASAT-24N&plan_id=
GIBSAT-129W,United Kingdom 🇬🇧,129.0°W,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=GIBSAT-129W&sel_satname=GIBSAT-129W&plan_id=
LUX-G9-38-A,Luxembourg 🇱🇺,129.0°W,Non-Planned,Notification of Space Station (N),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=LUX-G9-38-A&sel_satname=LUX-G9-38-A&plan_id=
GIBSAT-129W-B,United Kingdom 🇬🇧,129.0°W,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=GIBSAT-129W-B&sel_satname=GIBSAT-129W-B&plan_id=
LUX-G9-38,Luxembourg 🇱🇺,129.0°W,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=LUX-G9-38&sel_satname=LUX-G9-38&plan_id=
DSAT-W129,Germany 🇩🇪,129.0°W,Non-Planned,Advance Public Information (A),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=A&sat_name=DSAT-W129&sel_satname=DSAT-W129&plan_id=
CAN-BSS7 TTC,Canada 🇨🇦,129.0°W,Non-Planned,Notification of Space Station (N),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=CAN-BSS7+TTC&sel_satname=CAN-BSS7+TTC&plan_id=
GIBSAT-FSS-G14 129W,United Kingdom 🇬🇧,129.0°W,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=GIBSAT-FSS-G14+129W&sel_satname=GIBSAT-FSS-G14+129W&plan_id=plan
GOES-2-128W,United States 🇺🇸,128.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=GOES-2-128W&sel_satname=GOES-2-128W&plan_id=
TON00000,Tonga 🇹🇴,128.0°W,Planned,Planned (P/Plan/List),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=TON00000&sel_satname=TON00000&plan_id=plan
