License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Matched Characteristics,Link
INSAT-2K (83),India 🇮🇳,83.0°E,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INSAT-2K+(83)&sel_satname=INSAT-2K+(83)&plan_id=
INSAT-2M (83),India 🇮🇳,83.0°E,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INSAT-2M+(83)&sel_satname=INSAT-2M+(83)&plan_id=
INSAT-2E83,India 🇮🇳,83.0°E,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INSAT-2E83&sel_satname=INSAT-2E83&plan_id=
INSAT-2A,India 🇮🇳,83.0°E,Planned,Notification of Space Station (N),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=INSAT-2A&sel_satname=INSAT-2A&plan_id=plan
INSAT-TTC(83)E,India 🇮🇳,83.0°E,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INSAT-TTC(83)E&sel_satname=INSAT-TTC(83)E&plan_id=
INSAT-2(83),India 🇮🇳,83.0°E,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INSAT-2(83)&sel_satname=INSAT-2(83)&plan_id=
INSAT-METC(83E),India 🇮🇳,83.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=INSAT-METC(83E)&sel_satname=INSAT-METC(83E)&plan_id=
MEASAT-ROUTE-6,Malaysia 🇲🇾,83.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MEASAT-ROUTE-6&sel_satname=MEASAT-ROUTE-6&plan_id=
INSAT-NAVR(83),India 🇮🇳,83.0°E,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INSAT-NAVR(83)&sel_satname=INSAT-NAVR(83)&plan_id=
INSAT-NAV-GSO3(83E),India 🇮🇳,83.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=INSAT-NAV-GSO3(83E)&sel_satname=INSAT-NAV-GSO3(83E)&plan_id=
INSAT-EK83R,India 🇮🇳,83.0°E,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INSAT-EK83R&sel_satname=INSAT-EK83R&plan_id=
INSAT-EK83,India 🇮🇳,83.0°E,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INSAT-EK83&sel_satname=INSAT-EK83&plan_id=
INSAT-KU17(83E),India 🇮🇳,83.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=INSAT-KU17(83E)&sel_satname=INSAT-KU17(83E)&plan_id=
F-SAT-30B-83.5E,France 🇫🇷,83.5°E,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-30B-83.5E&sel_satname=F-SAT-30B-83.5E&plan_id=plan
ITS-AR-83.5E,China 🇨🇳,83.5°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ITS-AR-83.5E&sel_satname=ITS-AR-83.5E&plan_id=
SE-KA-83.5E,Norway 🇳🇴,83.5°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=SE-KA-83.5E&sel_satname=SE-KA-83.5E&plan_id=
F-SAT-N7-83.5E,France 🇫🇷,83.5°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N7-83.5E&sel_satname=F-SAT-N7-83.5E&plan_id=
INMARSAT-6-83E5,United Kingdom 🇬🇧,83.5°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INMARSAT-6-83E5&sel_satname=INMARSAT-6-83E5&plan_id=
INMARSAT-KA 83.5E,United Kingdom 🇬🇧,83.5°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INMARSAT-KA+83.5E&sel_satname=INMARSAT-KA+83.5E&plan_id=
INSAT-KUP-FSS(82.5E),India 🇮🇳,82.5°E,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=INSAT-KUP-FSS(82.5E)&sel_satname=INSAT-KUP-FSS(82.5E)&plan_id=plan
