License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Matched Characteristics,Link
USASAT-22A,United States 🇺🇸,133.0°W,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-22A&sel_satname=USASAT-22A&plan_id=
F-SAT-N4-133W,France 🇫🇷,133.0°W,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=F-SAT-N4-133W&sel_satname=F-SAT-N4-133W&plan_id=
F-SAT-30B-133W,France 🇫🇷,133.0°W,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-30B-133W&sel_satname=F-SAT-30B-133W&plan_id=plan
F-SAT-E-30B-133W,France 🇫🇷,133.0°W,Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=F-SAT-E-30B-133W&sel_satname=F-SAT-E-30B-133W&plan_id=plan
F-SAT-N8-133W,France 🇫🇷,133.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N8-133W&sel_satname=F-SAT-N8-133W&plan_id=
USASAT-80D,United States 🇺🇸,133.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USASAT-80D&sel_satname=USASAT-80D&plan_id=
USASAT-50B,United States 🇺🇸,133.0°W,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-50B&sel_satname=USASAT-50B&plan_id=
USASAT-35Y,United States 🇺🇸,133.0°W,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-35Y&sel_satname=USASAT-35Y&plan_id=
F-SAT-N6-133W,France 🇫🇷,133.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N6-133W&sel_satname=F-SAT-N6-133W&plan_id=
CHNNEWSAT-G1-132W,China 🇨🇳,132.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CHNNEWSAT-G1-132W&sel_satname=CHNNEWSAT-G1-132W&plan_id=
