License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Matched Characteristics,Link
QXSI-84.5E-EX-L,China 🇨🇳,84.5°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=QXSI-84.5E-EX-L&sel_satname=QXSI-84.5E-EX-L&plan_id=
CHINASAT-34B,China 🇨🇳,84.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=CHINASAT-34B&sel_satname=CHINASAT-34B&plan_id=
COMPASS-30B-84E,China 🇨🇳,84.0°E,Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=COMPASS-30B-84E&sel_satname=COMPASS-30B-84E&plan_id=plan
COMPASS-B-84E,China 🇨🇳,84.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=COMPASS-B-84E&sel_satname=COMPASS-B-84E&plan_id=
COMPASS-A-84E,China 🇨🇳,84.0°E,Non-Planned,Notification of Space Station (N),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=COMPASS-A-84E&sel_satname=COMPASS-A-84E&plan_id=
PRSS-83.75E_1,Russian Federation 🇷🇺,83.75°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=PRSS-83.75E_1&sel_satname=PRSS-83.75E_1&plan_id=
PRSS-83.75E,Russian Federation 🇷🇺,83.75°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=PRSS-83.75E&sel_satname=PRSS-83.75E&plan_id=
INTELSAT7 85E,United States 🇺🇸,85.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INTELSAT7+85E&sel_satname=INTELSAT7+85E&plan_id=
VOLNA-5,Russian Federation 🇷🇺,85.0°E,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=VOLNA-5&sel_satname=VOLNA-5&plan_id=
TDRS 85E,United States 🇺🇸,85.0°E,Non-Planned,Notification of Space Station (N),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=TDRS+85E&sel_satname=TDRS+85E&plan_id=
STATSIONAR-3,Russian Federation 🇷🇺,85.0°E,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=STATSIONAR-3&sel_satname=STATSIONAR-3&plan_id=
USTRO-9,United States 🇺🇸,85.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USTRO-9&sel_satname=USTRO-9&plan_id=
NEW DAWN FSS-8,Papua New Guinea 🇵🇬,85.0°E,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=NEW+DAWN+FSS-8&sel_satname=NEW+DAWN+FSS-8&plan_id=plan
TOR-4M,Russian Federation 🇷🇺,85.0°E,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=TOR-4M&sel_satname=TOR-4M&plan_id=
INTELSAT8 85E,United States 🇺🇸,85.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INTELSAT8+85E&sel_satname=INTELSAT8+85E&plan_id=
USASAT-55N,United States 🇺🇸,85.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-55N&sel_satname=USASAT-55N&plan_id=
NEW DAWN 34,Papua New Guinea 🇵🇬,85.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=NEW+DAWN+34&sel_satname=NEW+DAWN+34&plan_id=
RGS-S-85E,Russian Federation 🇷🇺,85.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=RGS-S-85E&sel_satname=RGS-S-85E&plan_id=
GALS-3,Russian Federation 🇷🇺,85.0°E,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=GALS-3&sel_satname=GALS-3&plan_id=
INTELSAT KFOS 85E,United States 🇺🇸,85.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INTELSAT+KFOS+85E&sel_satname=INTELSAT+KFOS+85E&plan_id=
TOR-4,Russian Federation 🇷🇺,85.0°E,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=TOR-4&sel_satname=TOR-4&plan_id=
INTELSAT6 85E,United States 🇺🇸,85.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INTELSAT6+85E&sel_satname=INTELSAT6+85E&plan_id=
F-SAT-30B-83.5E,France 🇫🇷,83.5°E,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-30B-83.5E&sel_satname=F-SAT-30B-83.5E&plan_id=plan
