License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Matched Characteristics,Link
TONGASAT-2/134E,Tonga 🇹🇴,134.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=TONGASAT-2/134E&sel_satname=TONGASAT-2/134E&plan_id=
ONETEL-134E,Cyprus 🇨🇾,134.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ONETEL-134E&sel_satname=ONETEL-134E&plan_id=
KYPROS-134E,Cyprus 🇨🇾,134.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=KYPROS-134E&sel_satname=KYPROS-134E&plan_id=
UK-KA-134E-VB,United Kingdom 🇬🇧,134.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=UK-KA-134E-VB&sel_satname=UK-KA-134E-VB&plan_id=
UK-KA-134E,United Kingdom 🇬🇧,134.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=UK-KA-134E&sel_satname=UK-KA-134E&plan_id=
USGOVSAT-20R,United States 🇺🇸,134.0°E,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USGOVSAT-20R&sel_satname=USGOVSAT-20R&plan_id=
G4SAT-134E,China 🇨🇳,134.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=G4SAT-134E&sel_satname=G4SAT-134E&plan_id=
CHINASAT-134E,China 🇨🇳,134.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=CHINASAT-134E&sel_satname=CHINASAT-134E&plan_id=
MADAR-134E,United Arab Emirates 🇦🇪,134.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-134E&sel_satname=MADAR-134E&plan_id=
CHNBSAT-K-134E,China 🇨🇳,134.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CHNBSAT-K-134E&sel_satname=CHNBSAT-K-134E&plan_id=
APSTAR-2,China 🇨🇳,134.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=APSTAR-2&sel_satname=APSTAR-2&plan_id=
TONGASAT C/KU-2,Tonga 🇹🇴,134.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=TONGASAT+C/KU-2&sel_satname=TONGASAT+C/KU-2&plan_id=
APSTAR-134E-AP30B,China 🇨🇳,134.0°E,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=APSTAR-134E-AP30B&sel_satname=APSTAR-134E-AP30B&plan_id=plan
TONGASAT AP-2,Tonga 🇹🇴,134.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=TONGASAT+AP-2&sel_satname=TONGASAT+AP-2&plan_id=
S-SAT-2-135E,Japan 🇯🇵,135.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=S-SAT-2-135E&sel_satname=S-SAT-2-135E&plan_id=
AUS-NBN-135E,Australia 🇦🇺,135.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=AUS-NBN-135E&sel_satname=AUS-NBN-135E&plan_id=
F-SAT-N8-133.5E,France 🇫🇷,133.5°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N8-133.5E&sel_satname=F-SAT-N8-133.5E&plan_id=
ITS-AR-133.5E,China 🇨🇳,133.5°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ITS-AR-133.5E&sel_satname=ITS-AR-133.5E&plan_id=
