License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Match,Link
INSAT-KA97.3E,India 🇮🇳,97.3°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=INSAT-KA97.3E&sel_satname=INSAT-KA97.3E&plan_id=
INSAT-EXC(97.3E),India 🇮🇳,97.3°E,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=INSAT-EXC(97.3E)&sel_satname=INSAT-EXC(97.3E)&plan_id=plan
INSAT-KUP-FSS(97.3E),India 🇮🇳,97.3°E,Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INSAT-KUP-FSS(97.3E)&sel_satname=INSAT-KUP-FSS(97.3E)&plan_id=plan
INSAT-C-Y17(97.3E),India 🇮🇳,97.3°E,Non-Planned,Due Diligence (U),Yes,Full,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INSAT-C-Y17(97.3E)&sel_satname=INSAT-C-Y17(97.3E)&plan_id=
LBN00000,Lebanon 🇱🇧,97.5°E,Planned,Planned (P/Plan/List),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=LBN00000&sel_satname=LBN00000&plan_id=plan
KTSAT-97E,Korea (Rep. of) 🇰🇷,97.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=KTSAT-97E&sel_satname=KTSAT-97E&plan_id=
KOREASAT-97A,Korea (Rep. of) 🇰🇷,97.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=KOREASAT-97A&sel_satname=KOREASAT-97A&plan_id=
MEASAT-3B,Malaysia 🇲🇾,97.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MEASAT-3B&sel_satname=MEASAT-3B&plan_id=
MADAR-97E,United Arab Emirates 🇦🇪,97.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-97E&sel_satname=MADAR-97E&plan_id=
UKSAT-32,United Kingdom 🇬🇧,97.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=UKSAT-32&sel_satname=UKSAT-32&plan_id=
MEASAT-3B_1,Malaysia 🇲🇾,97.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MEASAT-3B_1&sel_satname=MEASAT-3B_1&plan_id=
CHINASAT-44,China 🇨🇳,98.0°E,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=CHINASAT-44&sel_satname=CHINASAT-44&plan_id=
CHNHTSAT-98E,China 🇨🇳,98.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CHNHTSAT-98E&sel_satname=CHNHTSAT-98E&plan_id=
DFH-3A-OC,China 🇨🇳,98.0°E,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=DFH-3A-OC&sel_satname=DFH-3A-OC&plan_id=
CHINASAT-64,China 🇨🇳,98.0°E,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=CHINASAT-64&sel_satname=CHINASAT-64&plan_id=
CHINASAT-22,China 🇨🇳,98.0°E,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=CHINASAT-22&sel_satname=CHINASAT-22&plan_id=
CHINASAT-3,China 🇨🇳,98.0°E,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=CHINASAT-3&sel_satname=CHINASAT-3&plan_id=
PROGNOZ-8,Russian Federation 🇷🇺,98.0°E,Non-Planned,Notification of Space Station (N),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=PROGNOZ-8&sel_satname=PROGNOZ-8&plan_id=
SNG00000,Singapore 🇸🇬,98.1°E,Planned,Planned (P/Plan/List),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=SNG00000&sel_satname=SNG00000&plan_id=plan
MADAR-96.5E,United Arab Emirates 🇦🇪,96.5°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-96.5E&sel_satname=MADAR-96.5E&plan_id=
EXPRESS-8,Russian Federation 🇷🇺,96.5°E,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=EXPRESS-8&sel_satname=EXPRESS-8&plan_id=
VOLNA-5R,Russian Federation 🇷🇺,96.5°E,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=VOLNA-5R&sel_satname=VOLNA-5R&plan_id=
EXPRESS-8B,Russian Federation 🇷🇺,96.5°E,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=EXPRESS-8B&sel_satname=EXPRESS-8B&plan_id=
CHNSAT-98E,China 🇨🇳,98.2°E,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=CHNSAT-98E&sel_satname=CHNSAT-98E&plan_id=
