License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Match,Link
USASAT-28O,United States 🇺🇸,86.15°W,Non-Planned,Due Diligence (U),Yes,Full,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-28O&sel_satname=USASAT-28O&plan_id=
URG00000,Uruguay 🇺🇾,86.1°W,Planned,Planned (P/Plan/List),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=URG00000&sel_satname=URG00000&plan_id=plan
F-SAT-N7-86W,France 🇫🇷,86.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N7-86W&sel_satname=F-SAT-N7-86W&plan_id=
NSS-G4-9,Netherlands 🇳🇱,86.5°W,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=NSS-G4-9&sel_satname=NSS-G4-9&plan_id=
CAN-BSS61,Canada 🇨🇦,86.5°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CAN-BSS61&sel_satname=CAN-BSS61&plan_id=
CAN-BSS9,Canada 🇨🇦,86.5°W,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=CAN-BSS9&sel_satname=CAN-BSS9&plan_id=
CPV00000,Cabo Verde 🇨🇻,85.7°W,Planned,Planned (P/Plan/List),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=CPV00000&sel_satname=CPV00000&plan_id=plan
DOM00000,Dominican Rep. 🇩🇴,85.4°W,Planned,Planned (P/Plan/List),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=DOM00000&sel_satname=DOM00000&plan_id=plan
LUX-G12-45,Luxembourg 🇱🇺,87.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=LUX-G12-45&sel_satname=LUX-G12-45&plan_id=
USASAT-35P,United States 🇺🇸,87.0°W,Non-Planned,Due Diligence (U),Yes,Partial,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-35P&sel_satname=USASAT-35P&plan_id=
USASAT-24T,United States 🇺🇸,87.0°W,Non-Planned,Due Diligence (U),Yes,Partial,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-24T&sel_satname=USASAT-24T&plan_id=
IK-87W-F,Russian Federation 🇷🇺,87.0°W,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=IK-87W-F&sel_satname=IK-87W-F&plan_id=plan
NSS-FSS 87W,Netherlands 🇳🇱,87.0°W,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=NSS-FSS+87W&sel_satname=NSS-FSS+87W&plan_id=plan
LUX-G11-45,Luxembourg 🇱🇺,87.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=LUX-G11-45&sel_satname=LUX-G11-45&plan_id=
INMARSAT-7-87W,Switzerland 🇨🇭,87.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=INMARSAT-7-87W&sel_satname=INMARSAT-7-87W&plan_id=
LUX-G15-45,Luxembourg 🇱🇺,87.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=LUX-G15-45&sel_satname=LUX-G15-45&plan_id=
LUX-G7-43,Luxembourg 🇱🇺,87.0°W,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=LUX-G7-43&sel_satname=LUX-G7-43&plan_id=
USASAT-28K,United States 🇺🇸,85.2°W,Non-Planned,Due Diligence (U),Yes,Partial,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-28K&sel_satname=USASAT-28K&plan_id=
USASAT-28P,United States 🇺🇸,85.15°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USASAT-28P&sel_satname=USASAT-28P&plan_id=
