Network,ITU Administration,Longitude,Network Type,Filing Maturity,Brought into Use,Due Diligence Match,Suspended,Longitudinal Distance,Link
BDI00000,Burundi 🇧🇮,3.5°W,Planned,Early-Stage,No,n/a,No,0.07°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=BDI00000&sel_satname=BDI00000&plan_id=plan
KYPROS-3.7W,Cyprus 🇨🇾,3.7°W,Non-Planned,Early-Stage,No,n/a,No,0.13°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=KYPROS-3.7W&sel_satname=KYPROS-3.7W&plan_id=
MTG-D1_3.4W,Germany 🇩🇪,3.4°W,Non-Planned,Early-Stage,Yes,n/a,No,0.17°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=MTG-D1_3.4W&sel_satname=MTG-D1_3.4W&plan_id=
MTG-EUM_3.4W,Germany 🇩🇪,3.4°W,Non-Planned,Early-Stage,No,n/a,No,0.17°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=MTG-EUM_3.4W&sel_satname=MTG-EUM_3.4W&plan_id=
AMOS-II 4W,Israel 🇮🇱,4.0°W,Planned,Late-Stage,Yes,No,No,0.43°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=AMOS-II+4W&sel_satname=AMOS-II+4W&plan_id=plan
AMS-30B-4W,Israel 🇮🇱,4.0°W,Planned,Early-Stage,No,n/a,No,0.43°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=AMS-30B-4W&sel_satname=AMS-30B-4W&plan_id=plan
AMOS 3-A,Israel 🇮🇱,4.0°W,Non-Planned,Late-Stage,Yes,No,No,0.43°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=AMOS+3-A&sel_satname=AMOS+3-A&plan_id=
CERES-1,Hungary 🇭🇺,4.0°W,Planned,Late-Stage,Yes,No,No,0.43°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=CERES-1&sel_satname=CERES-1&plan_id=plan
AMOS 1-B,Israel 🇮🇱,4.0°W,Non-Planned,Late-Stage,Yes,No,No,0.43°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=AMOS+1-B&sel_satname=AMOS+1-B&plan_id=
AMOS 2-B,Israel 🇮🇱,4.0°W,Non-Planned,Late-Stage,Yes,No,No,0.43°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=AMOS+2-B&sel_satname=AMOS+2-B&plan_id=
AMS-CK-4W,Israel 🇮🇱,4.0°W,Non-Planned,Early-Stage,Yes,n/a,No,0.43°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=AMS-CK-4W&sel_satname=AMS-CK-4W&plan_id=
ILAN-1-4W,Israel 🇮🇱,4.0°W,Non-Planned,Early-Stage,No,n/a,No,0.43°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ILAN-1-4W&sel_satname=ILAN-1-4W&plan_id=
ILAN-30B-4W,Israel 🇮🇱,4.0°W,Planned,Early-Stage,No,n/a,No,0.43°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=ILAN-30B-4W&sel_satname=ILAN-30B-4W&plan_id=plan
STATSIONAR-M2,Russian Federation 🇷🇺,3.0°W,Non-Planned,Late-Stage,Yes,No,No,0.57°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=STATSIONAR-M2&sel_satname=STATSIONAR-M2&plan_id=
MLT00000,Malta 🇲🇹,3.0°W,Planned,Early-Stage,No,n/a,No,0.57°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=MLT00000&sel_satname=MLT00000&plan_id=plan
PACIFISAT-3W,Papua New Guinea 🇵🇬,3.0°W,Non-Planned,Early-Stage,No,n/a,No,0.57°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=PACIFISAT-3W&sel_satname=PACIFISAT-3W&plan_id=
INTERSPUTNIK-3W-CK,Russian Federation 🇷🇺,3.0°W,Non-Planned,Late-Stage,Yes,No,No,0.57°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=INTERSPUTNIK-3W-CK&sel_satname=INTERSPUTNIK-3W-CK&plan_id=
INTERSPUTNIK-3W,Russian Federation 🇷🇺,3.0°W,Non-Planned,Late-Stage,Yes,No,No,0.57°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=INTERSPUTNIK-3W&sel_satname=INTERSPUTNIK-3W&plan_id=
INTERSPUTNIK-3W-Q,Russian Federation 🇷🇺,3.0°W,Non-Planned,Late-Stage,Yes,No,No,0.57°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=INTERSPUTNIK-3W-Q&sel_satname=INTERSPUTNIK-3W-Q&plan_id=
TOR-11M,Russian Federation 🇷🇺,3.0°W,Non-Planned,Late-Stage,Yes,No,No,0.57°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=TOR-11M&sel_satname=TOR-11M&plan_id=
AFRISAT 3W-PKU,Papua New Guinea 🇵🇬,3.0°W,Planned,Early-Stage,No,n/a,No,0.57°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=AFRISAT+3W-PKU&sel_satname=AFRISAT+3W-PKU&plan_id=plan
GALS-11,Russian Federation 🇷🇺,3.0°W,Non-Planned,Late-Stage,Yes,No,No,0.57°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=GALS-11&sel_satname=GALS-11&plan_id=
