Network,ITU Administration,Longitude,Network Type,Filing Type,Brought into Use,Due Diligence Match,Suspended,Link
P-P-SAT-1,Argentina 🇦🇷,81.0°W,Non-Planned,Due Diligence (U),Yes,Partial,Resumed,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=P-P-SAT-1&sel_satname=P-P-SAT-1&plan_id=
ARSAT-N,Argentina 🇦🇷,81.0°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ARSAT-N&sel_satname=ARSAT-N&plan_id=
ARSAT-D,Argentina 🇦🇷,81.0°W,Non-Planned,Due Diligence (U),Yes,Partial,Resumed,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=ARSAT-D&sel_satname=ARSAT-D&plan_id=
YAHSAT-FSS-81W,United Arab Emirates 🇦🇪,81.0°W,Planned,Planned (P),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=YAHSAT-FSS-81W&sel_satname=YAHSAT-FSS-81W&plan_id=plan
ARSAT-M,Argentina 🇦🇷,81.0°W,Non-Planned,Due Diligence (U),Yes,Partial,Full,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=ARSAT-M&sel_satname=ARSAT-M&plan_id=
MADAR-81W-2,United Arab Emirates 🇦🇪,81.0°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-81W-2&sel_satname=MADAR-81W-2&plan_id=
CUB00000,Cuba 🇨🇺,80.6°W,Planned,Planned (P/Plan/List),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=CUB00000&sel_satname=CUB00000&plan_id=plan
PRG00000,Paraguay 🇵🇾,81.5°W,Planned,Planned (P/Plan/List),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=PRG00000&sel_satname=PRG00000&plan_id=plan
CAN-BSS1 TTAC,Canada 🇨🇦,82.0°W,Non-Planned,Notification of Space Station (N),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=CAN-BSS1+TTAC&sel_satname=CAN-BSS1+TTAC&plan_id=
MADAR-82W,United Arab Emirates 🇦🇪,82.0°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-82W&sel_satname=MADAR-82W&plan_id=
CANSAT-31,Canada 🇨🇦,82.0°W,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=CANSAT-31&sel_satname=CANSAT-31&plan_id=
MADAR-82W-2,United Arab Emirates 🇦🇪,82.0°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-82W-2&sel_satname=MADAR-82W-2&plan_id=
