Network,ITU Administration,Longitude,Network Type,Filing Type,Brought into Use,Due Diligence Match,Suspended,Link
N-SAT-90.75E,Japan 🇯🇵,90.75°E,Non-Planned,Due Diligence (U),Yes,n/a,Resumed,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=N-SAT-90.75E&sel_satname=N-SAT-90.75E&plan_id=
YAMAL-KA2M,Russian Federation 🇷🇺,90.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=YAMAL-KA2M&sel_satname=YAMAL-KA2M&plan_id=
VOLNA-8,Russian Federation 🇷🇺,90.0°E,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=VOLNA-8&sel_satname=VOLNA-8&plan_id=
EXPRESS-7B,Russian Federation 🇷🇺,90.0°E,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=EXPRESS-7B&sel_satname=EXPRESS-7B&plan_id=
USTRO-7,United States 🇺🇸,90.0°E,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USTRO-7&sel_satname=USTRO-7&plan_id=
EXPRESS-7,Russian Federation 🇷🇺,90.0°E,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=EXPRESS-7&sel_satname=EXPRESS-7&plan_id=
MILSTAR 5,United States 🇺🇸,90.0°E,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=MILSTAR+5&sel_satname=MILSTAR+5&plan_id=
EDRS-90,France 🇫🇷,90.0°E,Non-Planned,Advance Public Information (A),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=A&sat_name=EDRS-90&sel_satname=EDRS-90&plan_id=
ONETEL-90E,Cyprus 🇨🇾,90.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ONETEL-90E&sel_satname=ONETEL-90E&plan_id=
GC-11B,China 🇨🇳,90.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=GC-11B&sel_satname=GC-11B&plan_id=
YAMAL-90E-1,Russian Federation 🇷🇺,90.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=YAMAL-90E-1&sel_satname=YAMAL-90E-1&plan_id=
USGAE-3B,United States 🇺🇸,90.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USGAE-3B&sel_satname=USGAE-3B&plan_id=
YAMAL-FSS-90E,Russian Federation 🇷🇺,90.0°E,Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=YAMAL-FSS-90E&sel_satname=YAMAL-FSS-90E&plan_id=plan
STATSIONAR-6,Russian Federation 🇷🇺,90.0°E,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=STATSIONAR-6&sel_satname=STATSIONAR-6&plan_id=
YAMAL-PK4,Russian Federation 🇷🇺,90.0°E,Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=YAMAL-PK4&sel_satname=YAMAL-PK4&plan_id=plan
LOUTCH-3,Russian Federation 🇷🇺,90.0°E,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=LOUTCH-3&sel_satname=LOUTCH-3&plan_id=
EXPRESS-7C,Russian Federation 🇷🇺,90.0°E,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=EXPRESS-7C&sel_satname=EXPRESS-7C&plan_id=
CNSAT-89.8E,China 🇨🇳,89.8°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CNSAT-89.8E&sel_satname=CNSAT-89.8E&plan_id=
STARTIME-3,China 🇨🇳,89.8°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=STARTIME-3&sel_satname=STARTIME-3&plan_id=
MEASAT-89.5E-21,Malaysia 🇲🇾,89.5°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MEASAT-89.5E-21&sel_satname=MEASAT-89.5E-21&plan_id=
KYPROS-ORION,Cyprus 🇨🇾,89.5°E,Non-Planned,Due Diligence (U),Yes,n/a,Resumed,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=KYPROS-ORION&sel_satname=KYPROS-ORION&plan_id=
ONETEL-89.5E,Cyprus 🇨🇾,89.5°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ONETEL-89.5E&sel_satname=ONETEL-89.5E&plan_id=
