Network,ITU Administration,Longitude,Network Type,Filing Type,Brought into Use,Due Diligence Match,Suspended,Link
F-SAT-N7-36E,France 🇫🇷,36.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N7-36E&sel_satname=F-SAT-N7-36E&plan_id=
EXPRESS-KA-36E,Russian Federation 🇷🇺,36.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=EXPRESS-KA-36E&sel_satname=EXPRESS-KA-36E&plan_id=
EUTELSAT 3-36E,France 🇫🇷,36.0°E,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=EUTELSAT+3-36E&sel_satname=EUTELSAT+3-36E&plan_id=
EUTELSAT EXB-36E,France 🇫🇷,36.0°E,Planned,Notification of Space Station (N),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=EUTELSAT+EXB-36E&sel_satname=EUTELSAT+EXB-36E&plan_id=plan
F-SAT-30B-1-36E,France 🇫🇷,36.0°E,Planned,Planned (P),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-30B-1-36E&sel_satname=F-SAT-30B-1-36E&plan_id=plan
RST-1A,Russian Federation 🇷🇺,36.0°E,Non-Planned,Notification of Space Station (N),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=RST-1A&sel_satname=RST-1A&plan_id=
FMS-UHF,France 🇫🇷,36.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=FMS-UHF&sel_satname=FMS-UHF&plan_id=
F-SAT-30B-36E,France 🇫🇷,36.0°E,Planned,Planned (P),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-30B-36E&sel_satname=F-SAT-30B-36E&plan_id=plan
F-SAT-N9-36E,France 🇫🇷,36.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N9-36E&sel_satname=F-SAT-N9-36E&plan_id=
USGOVSAT-17A,United States 🇺🇸,36.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USGOVSAT-17A&sel_satname=USGOVSAT-17A&plan_id=
EUTELSAT-KA-36E,France 🇫🇷,36.0°E,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=EUTELSAT-KA-36E&sel_satname=EUTELSAT-KA-36E&plan_id=
F-SAT-N3-36E,France 🇫🇷,36.0°E,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=F-SAT-N3-36E&sel_satname=F-SAT-N3-36E&plan_id=
