Network,ITU Administration,Longitude,Network Type,Filing Maturity,Brought into Use,Due Diligence Match,Suspended,Longitudinal Distance,Link
MDA00000,Moldova 🇲🇩,75.1°E,Planned,Early-Stage,No,n/a,No,0.00°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=MDA00000&sel_satname=MDA00000&plan_id=plan
PACIFISAT-S-75E,Papua New Guinea 🇵🇬,75.0°E,Non-Planned,Late-Stage,Yes,No,No,0.10°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=PACIFISAT-S-75E&sel_satname=PACIFISAT-S-75E&plan_id=
INTERBELAR-2,Russian Federation 🇷🇺,75.0°E,Non-Planned,Late-Stage,Yes,No,No,0.10°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=INTERBELAR-2&sel_satname=INTERBELAR-2&plan_id=
USMB-10A,United States 🇺🇸,75.0°E,Non-Planned,Early-Stage,No,n/a,No,0.10°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=USMB-10A&sel_satname=USMB-10A&plan_id=
PACIFISAT KA-75E,Papua New Guinea 🇵🇬,75.0°E,Non-Planned,Late-Stage,Yes,No,No,0.10°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=PACIFISAT+KA-75E&sel_satname=PACIFISAT+KA-75E&plan_id=
USCSID-A3,United States 🇺🇸,75.0°E,Non-Planned,Late-Stage,Yes,No,No,0.10°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=USCSID-A3&sel_satname=USCSID-A3&plan_id=
USMB-10,United States 🇺🇸,75.0°E,Non-Planned,Late-Stage,Yes,No,No,0.10°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=USMB-10&sel_satname=USMB-10&plan_id=
IRIS-6A,United States 🇺🇸,75.0°E,Non-Planned,Late-Stage,Yes,Partial,No,0.10°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=IRIS-6A&sel_satname=IRIS-6A&plan_id=
INTERSPUTNIK-75E-Q,Russian Federation 🇷🇺,75.0°E,Non-Planned,Late-Stage,Yes,No,No,0.10°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=INTERSPUTNIK-75E-Q&sel_satname=INTERSPUTNIK-75E-Q&plan_id=
PACIFISAT-1,Papua New Guinea 🇵🇬,75.0°E,Non-Planned,Late-Stage,Yes,No,No,0.10°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=PACIFISAT-1&sel_satname=PACIFISAT-1&plan_id=
FLTSATCOM-C INDOC-3,United States 🇺🇸,75.0°E,Non-Planned,Late-Stage,Yes,Partial,No,0.10°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=FLTSATCOM-C+INDOC-3&sel_satname=FLTSATCOM-C+INDOC-3&plan_id=
INTERSPUTNIK-75E-CK,Russian Federation 🇷🇺,75.0°E,Non-Planned,Late-Stage,Yes,No,No,0.10°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=INTERSPUTNIK-75E-CK&sel_satname=INTERSPUTNIK-75E-CK&plan_id=
IK-74.5E,Russian Federation 🇷🇺,74.5°E,Non-Planned,Early-Stage,No,n/a,No,0.60°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=IK-74.5E&sel_satname=IK-74.5E&plan_id=
KYPROS-75.75E,Cyprus 🇨🇾,75.75°E,Non-Planned,Early-Stage,No,n/a,No,0.65°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=KYPROS-75.75E&sel_satname=KYPROS-75.75E&plan_id=
GOMS-M,Russian Federation 🇷🇺,76.0°E,Non-Planned,Late-Stage,Yes,No,No,0.90°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=GOMS-M&sel_satname=GOMS-M&plan_id=
